country,asylum_seekers,idps,refugees
Iceland,161.0,0.0,179.0
India,6480.0,0.0,201381.0
Indonesia,7591.0,0.0,5957.0
Iran (Islamic Rep. of),42.0,0.0,979437.0
Iraq,7420.0,4403287.0,277701.0
Ireland,5055.0,0.0,6125.0
Israel,11677.0,0.0,32946.0
Italy,60156.0,0.0,118047.0
Jamaica,5.0,0.0,12.0
Japan,13831.0,0.0,2474.0
Jordan,24935.0,0.0,664118.0
Kazakhstan,97.0,0.0,708.0
Kenya,39969.0,0.0,553912.0
Kuwait,900.0,0.0,741.0
Kyrgyzstan,158.0,0.0,354.0
Latvia,179.0,0.0,208.0
Lebanon,12139.0,0.0,1070854.0
Lesotho,4.0,0.0,31.0
Liberia,15.0,0.0,36505.0
Libya,27479.0,434869.0,9305.0
Liechtenstein,97.0,0.0,150.0
Lithuania,82.0,0.0,1093.0
Luxembourg,2395.0,0.0,1332.0
Madagascar,12.0,0.0,10.0
Malawi,14470.0,0.0,9019.0
Malaysia,60415.0,0.0,94166.0
Mali,340.0,61920.0,15917.0
Malta,590.0,0.0,7075.0
Mauritania,497.0,0.0,77394.0
Mexico,1350.0,0.0,2923.0
Micronesia (Federated States of),11.0,0.0,3.0
Monaco,0.0,0.0,32.0
Mongolia,6.0,0.0,9.0
Montenegro,20.0,0.0,1771.0
Morocco,1565.0,0.0,3908.0
Mozambique,14825.0,0.0,5622.0
Myanmar,1.0,451089.0,0.0
Namibia,1112.0,0.0,1737.0
Nauru,302.0,0.0,506.0
Nepal,17.0,0.0,32667.0
Netherlands,28051.0,0.0,88536.0
New Zealand,159.0,0.0,1337.0
Nicaragua,131.0,0.0,330.0
Niger,106.0,137337.0,124721.0
Nigeria,386.0,2172532.0,1395.0
Norway,25316.0,0.0,50389.0
Oman,190.0,0.0,245.0
Pakistan,6442.0,1146108.0,1561162.0
Panama,2934.0,0.0,17322.0
Papua New Guinea,445.0,0.0,9510.0
Paraguay,37.0,0.0,172.0
Peru,379.0,0.0,1488.0
Philippines,210.0,63174.0,269.0
Poland,3303.0,0.0,14065.0
Portugal,580.0,0.0,853.0
Qatar,118.0,0.0,120.0
Rep. of Korea,5442.0,0.0,1463.0
Rep. of Moldova,110.0,0.0,446.0
Romania,432.0,0.0,2598.0
Russian Federation,2088.0,0.0,314507.0
Rwanda,414.0,0.0,144737.0
Saint Lucia,1.0,0.0,1.0
Samoa,3.0,0.0,0.0
Saudi Arabia,32.0,0.0,125.0
Senegal,3119.0,0.0,14392.0
Serbia and Kosovo (S/RES/1244 (1999)),116.0,220002.0,35332.0
Sierra Leone,17.0,0.0,760.0
Singapore,0.0,0.0,0.0
Sint Maarten (Dutch part),8.0,0.0,3.0
Slovakia,173.0,0.0,820.0
Slovenia,103.0,0.0,292.0
Solomon Islands,0.0,0.0,3.0
Somalia,10120.0,1133000.0,8081.0
South Africa,1096063.0,0.0,121645.0
South Sudan,839.0,1790427.0,263016.0
Spain,11020.0,0.0,6457.0
Sri Lanka,608.0,44934.0,784.0
Sudan,12581.0,3218234.0,309639.0
Suriname,4.0,0.0,1.0
Swaziland,268.0,0.0,696.0
Sweden,157046.0,0.0,169520.0
Switzerland,32701.0,0.0,73336.0
Syrian Arab Rep.,5251.0,6563462.0,21113.0
Tajikistan,288.0,0.0,1969.0
Thailand,8271.0,0.0,108261.0
The former Yugoslav Republic of Macedonia,17.0,0.0,701.0
Timor-Leste,0.0,0.0,0.0
Togo,752.0,0.0,21953.0
Trinidad and Tobago,82.0,0.0,113.0
Tunisia,90.0,0.0,665.0
Turkey,212408.0,0.0,2541352.0
Turkmenistan,0.0,0.0,26.0
Turks and Caicos Islands,0.0,0.0,4.0
Uganda,35779.0,0.0,477187.0
Ukraine,6502.0,1600000.0,3273.0
United Arab Emirates,421.0,0.0,663.0
United Kingdom,45870.0,0.0,123067.0
United Rep. of Tanzania,2150.0,0.0,211845.0
United States of America,286168.0,0.0,273202.0
Uruguay,79.0,0.0,301.0
Uzbekistan,0.0,0.0,107.0
Vanuatu,1.0,0.0,0.0
Venezuela (Bolivarian Republic of),235.0,0.0,173754.0
Viet Nam,0.0,0.0,0.0
Yemen,9866.0,2532032.0,267173.0
Zambia,2411.0,0.0,26447.0
Zimbabwe,259.0,0.0,6950.0
