country,country_code,hiv_prevalence_resid
Guinea,GIN,0.19393390597478488
"Gambia, The",GMB,0.3683397721190831
Guinea-Bissau,GNB,2.1530793511052004
Equatorial Guinea,GNQ,6.1081681457342185
Greece,GRC,-0.22197521445473367
Guatemala,GTM,-0.21997766833518717
Guyana,GUY,0.9527320712358934
Honduras,HND,-0.6854586254790952
Heavily indebted poor countries (HIPC),HPC,1.327401053193484
Haiti,HTI,0.47995229892755154
Hungary,HUN,-0.3274972893391638
IDA & IBRD total,IBT,0.5418103972542252
IDA total,IDA,0.8097952036893832
IDA blend,IDB,1.1347853031021986
Indonesia,IDN,-0.16696023236118906
IDA only,IDX,0.6378218738778043
India,IND,-0.7112846418792889
Ireland,IRL,0.04987468307224632
"Iran, Islamic Rep.",IRN,-0.3875316466725768
Italy,ITA,-0.10613411823676072
Jamaica,JAM,1.1653545120885975
Japan,JPN,-0.16571567915441118
Kazakhstan,KAZ,-0.2373907804561063
Kenya,KEN,3.8317581319713607
Kyrgyz Republic,KGZ,-1.018063709818082
Cambodia,KHM,-0.6114427558142083
Kuwait,KWT,-0.045831923533943636
Latin America & Caribbean (excluding high income),LAC,-0.005160187464937072
Lao PDR,LAO,-0.6114806171376423
Lebanon,LBN,-0.4180939845649615
Liberia,LBR,0.022943987721983028
Latin America & Caribbean,LCN,0.0015841136381941068
Least developed countries: UN classification,LDC,0.6611802577642896
Low income,LIC,1.4875386792059162
Sri Lanka,LKA,-0.4538507441291464
Lower middle income,LMC,-0.24987091606257483
Low & middle income,LMY,0.5448951053318214
Lesotho,LSO,22.51650219611122
Lithuania,LTU,-0.2972760445692305
Luxembourg,LUX,0.09761910327616952
Morocco,MAR,-0.6194440295171872
Moldova,MDA,-0.5337283105818174
Madagascar,MDG,-1.2560598765927529
Mexico,MEX,-0.19001328325762817
Middle income,MIC,0.3241764406670935
"Macedonia, FYR",MKD,-0.4212629805033806
Mali,MLI,-0.08515622876923823
Myanmar,MMR,-0.29624020518013916
Middle East & North Africa (excluding high income),MNA,-0.43934922226122236
Montenegro,MNE,-0.39811198686979
Mongolia,MNG,-0.4467021948290547
Mozambique,MOZ,11.409632714087593
Mauritania,MRT,-0.7730763555819639
Malawi,MWI,8.605705492786965
Malaysia,MYS,-0.02257327416001459
Namibia,NAM,11.926481665427614
Niger,NER,-1.118376752473217
Nigeria,NGA,1.9799159365840033
Nicaragua,NIC,-0.8083245517007662
Netherlands,NLD,-0.003422125237892648
Norway,NOR,-0.06179313647032858
Nepal,NPL,-1.1343273642523592
New Zealand,NZL,-0.19293078474586253
Other small states,OSS,7.553552808857761
Pakistan,PAK,-0.9399052582737194
Panama,PAN,0.4387126037173401
Peru,PER,-0.24029302695076032
Philippines,PHL,-0.672796205573892
Papua New Guinea,PNG,-0.24570567821279632
Pre-demographic dividend,PRE,2.05603197700688
Portugal,PRT,0.21067386814349537
Paraguay,PRY,-0.05284870243721329
Qatar,QAT,0.04258825142307946
Romania,ROU,-0.36448949506641315
Russian Federation,RUS,0.5598783500433464
Rwanda,RWA,1.390859125971846
South Asia,SAS,-0.7845193446775217
Sudan,SDN,-0.888988714289664
Senegal,SEN,-0.7574432961812272
Singapore,SGP,0.06902174832213587
Sierra Leone,SLE,-0.06436875297749522
El Salvador,SLV,-0.15451341304472166
Serbia,SRB,-0.4195188453335915
Sub-Saharan Africa (excluding high income),SSA,3.112228288676536
South Sudan,SSD,1.1091578228744217
Sub-Saharan Africa,SSF,3.1124723758859796
Small states,SST,6.2055879086752785
Suriname,SUR,0.7950928308994346
Slovak Republic,SVK,-0.2894571058401194
Slovenia,SVN,-0.26528351560400654
Eswatini,SWZ,27.635884046669894
Chad,TCD,0.03395309886785425
Europe & Central Asia (IDA & IBRD countries),TEC,0.16705163261625933
Togo,TGO,0.8533730758351099
Thailand,THA,0.7010847987090807
Tajikistan,TJK,-1.09285168356034
Latin America & the Caribbean (IDA & IBRD countries),TLA,0.001489707487934755
Middle East & North Africa (IDA & IBRD countries),TMN,-0.43757997921850994
South Asia (IDA & IBRD),TSA,-0.7845193446775217
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.1124723758859894
Trinidad and Tobago,TTO,0.8595004949277546
Tunisia,TUN,-0.4599530136583694
Tanzania,TZA,3.388182264445972
Uganda,UGA,4.88187745897533
Ukraine,UKR,0.20169464941291415
Uruguay,URY,0.1329630667287075
Uzbekistan,UZB,-0.7181698045935707
Vietnam,VNM,-0.5358732788721078
World,WLD,0.296377880097785
South Africa,ZAF,18.269225671067446
Zambia,ZMB,10.830070012768822
Zimbabwe,ZWE,12.650640310884086
