country,country_code,trade_pct_gdp_resid
Mozambique,MOZ,39.09327170587578
Mauritania,MRT,41.323576651962426
Mauritius,MUS,22.543236442562346
Malawi,MWI,-0.16372506121558672
Malaysia,MYS,45.061408246131265
North America,NAC,-58.695355685743976
Namibia,NAM,33.6126642186003
Niger,NER,-5.718820652811857
Nigeria,NGA,-48.66696860312034
Nicaragua,NIC,30.04401022875443
Netherlands,NLD,67.28313579859267
Norway,NOR,-21.38849879417654
Nepal,NPL,-13.491485946383214
Nauru,NRU,72.56203302830718
New Zealand,NZL,-33.0799659116897
OECD members,OED,-30.8200966577242
Oman,OMN,21.515210460165378
Other small states,OSS,23.21664664766172
Pakistan,PAK,-41.51811187619534
Panama,PAN,11.613138085359935
Peru,PER,-29.123077108979118
Philippines,PHL,-8.46414566407281
Palau,PLW,49.2739430829909
Poland,POL,7.571489731357872
Pre-demographic dividend,PRE,-17.00522155215255
Puerto Rico,PRI,21.35006279890547
Portugal,PRT,-6.964190029522214
Paraguay,PRY,-8.415950509651694
West Bank and Gaza,PSE,8.736683480584375
Pacific island small states,PSS,33.217220005019726
Post-demographic dividend,PST,-29.306242738151305
Qatar,QAT,-12.793968648348269
Romania,ROU,-5.031382047485721
Russian Federation,RUS,-40.08362949019954
Rwanda,RWA,-13.338473049784554
South Asia,SAS,-28.67232599211843
Saudi Arabia,SAU,-17.847958060320394
Sudan,SDN,-49.66389212170575
Senegal,SEN,-9.180141597078851
Singapore,SGP,231.01413586894415
Solomon Islands,SLB,32.00358060930749
Sierra Leone,SLE,1.4406183006704794
El Salvador,SLV,4.84255693129667
Serbia,SRB,28.236303807976356
Sub-Saharan Africa (excluding high income),SSA,-14.839422897375549
South Sudan,SSD,-16.136507373160043
Sub-Saharan Africa,SSF,-14.744451449902527
Small states,SST,20.938983825009558
Slovak Republic,SVK,97.1400638759302
Slovenia,SVN,57.904513909256806
Sweden,SWE,-2.3744246364927477
Eswatini,SWZ,27.84127725111894
Sint Maarten (Dutch part),SXM,133.04407569418686
Seychelles,SYC,83.62910706147962
Chad,TCD,0.27258448871292273
East Asia & Pacific (IDA & IBRD countries),TEA,-24.9784376442636
Europe & Central Asia (IDA & IBRD countries),TEC,-19.40002512296158
Togo,TGO,41.884585524306175
Thailand,THA,48.808252706415985
Tajikistan,TJK,-14.2383863940833
Turkmenistan,TKM,4.645385441563235
Latin America & the Caribbean (IDA & IBRD countries),TLA,-33.05888611051482
Timor-Leste,TLS,57.79712364637338
Middle East & North Africa (IDA & IBRD countries),TMN,-17.06600700856007
Tonga,TON,12.092109418111292
South Asia (IDA & IBRD),TSA,-28.67232599211843
Sub-Saharan Africa (IDA & IBRD countries),TSS,-14.744451449902527
Tunisia,TUN,17.152919437964826
Turkey,TUR,-39.89773972252555
Tanzania,TZA,-20.399240447422905
Uganda,UGA,-18.13742615248026
Ukraine,UKR,36.157540074685215
Upper middle income,UMC,-27.526758016299368
Uruguay,URY,-41.65727019998081
United States,USA,-62.29634087197649
Uzbekistan,UZB,-20.804134495130214
St. Vincent and the Grenadines,VCT,18.32809728000089
Vietnam,VNM,108.77262464342476
World,WLD,-18.534768003385743
Samoa,WSM,6.496914433555318
Kosovo,XKX,-0.8271488341081437
South Africa,ZAF,-12.906150013238182
Zambia,ZMB,11.796296514827887
Zimbabwe,ZWE,-9.69837291064541
