country,country_code,access_to_electricity_pct_of_population
Other small states,OSS,71.05087402434042
Pakistan,PAK,93.5
Panama,PAN,92.55484008789058
Peru,PER,93.852179
Philippines,PHL,89.08
Palau,PLW,99.1614608764648
Papua New Guinea,PNG,22.1889343261719
Poland,POL,100.0
Pre-demographic dividend,PRE,38.65741821424
Puerto Rico,PRI,100.0
"Korea, Dem. People’s Rep.",PRK,37.446319580078104
Portugal,PRT,100.0
Paraguay,PRY,99.331532
West Bank and Gaza,PSE,100.0
Pacific island small states,PSS,79.5159764612161
Post-demographic dividend,PST,99.9997111087969
French Polynesia,PYF,100.0
Qatar,QAT,100.0
Romania,ROU,100.0
Russian Federation,RUS,100.0
Rwanda,RWA,22.8
South Asia,SAS,86.5139871367745
Saudi Arabia,SAU,100.0
Sudan,SDN,38.0091552734375
Senegal,SEN,60.5
Singapore,SGP,100.0
Solomon Islands,SLB,55.1
Sierra Leone,SLE,16.468376159668
El Salvador,SLV,95.4
San Marino,SMR,100.0
Somalia,SOM,28.292404174804698
Serbia,SRB,99.9827423095703
Sub-Saharan Africa (excluding high income),SSA,38.4199437754081
South Sudan,SSD,7.93542766571045
Sub-Saharan Africa,SSF,38.4256607372983
Small states,SST,76.0974934551665
Sao Tome and Principe,STP,64.5101470947266
Suriname,SUR,87.7446746826172
Slovak Republic,SVK,100.0
Slovenia,SVN,100.0
Sweden,SWE,100.0
Eswatini,SWZ,62.994544982910206
Sint Maarten (Dutch part),SXM,100.0
Seychelles,SYC,99.6783218383789
Syrian Arab Republic,SYR,99.6365203857422
Turks and Caicos Islands,TCA,95.4321975708008
Chad,TCD,7.7
East Asia & Pacific (IDA & IBRD countries),TEA,97.2741931143286
Europe & Central Asia (IDA & IBRD countries),TEC,99.9983963132304
Togo,TGO,45.0285453796387
Thailand,THA,99.6
Tajikistan,TJK,99.9973526000976
Turkmenistan,TKM,100.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,97.1832154658975
Timor-Leste,TLS,67.2815339423354
Middle East & North Africa (IDA & IBRD countries),TMN,97.4932158696792
Tonga,TON,96.1754531860352
South Asia (IDA & IBRD),TSA,86.5139871367745
Sub-Saharan Africa (IDA & IBRD countries),TSS,38.4256607372983
Trinidad and Tobago,TTO,100.0
Tunisia,TUN,100.0
Turkey,TUR,100.0
Tuvalu,TUV,99.0326766967773
Tanzania,TZA,18.5
Uganda,UGA,18.5
Ukraine,UKR,100.0
Upper middle income,UMC,99.268933862812
Uruguay,URY,99.70948
United States,USA,100.0
Uzbekistan,UZB,100.0
St. Vincent and the Grenadines,VCT,99.4550628662109
"Venezuela, RB",VEN,99.4607391357422
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,100.0
Vietnam,VNM,100.0
Vanuatu,VUT,44.669612884521506
World,WLD,87.05592295623129
Samoa,WSM,99.9382781982422
Kosovo,XKX,100.0
"Yemen, Rep.",YEM,70.2139053344727
South Africa,ZAF,85.5
Zambia,ZMB,31.1
Zimbabwe,ZWE,33.7
