country,country_code,adolescent_fertility_rate
Syrian Arab Republic,SYR,40.4704
Turks and Caicos Islands,TCA,
Chad,TCD,167.942
East Asia & Pacific (IDA & IBRD countries),TEA,22.9552407164892
Europe & Central Asia (IDA & IBRD countries),TEC,25.451049952569605
Togo,TGO,90.1494
Thailand,THA,51.7358
Tajikistan,TJK,37.4176
Turkmenistan,TKM,25.2328
Latin America & the Caribbean (IDA & IBRD countries),TLA,63.8594767961644
Timor-Leste,TLS,47.2688
Middle East & North Africa (IDA & IBRD countries),TMN,41.7938375985608
Tonga,TON,15.437999999999999
South Asia (IDA & IBRD),TSA,35.0669315273037
Sub-Saharan Africa (IDA & IBRD countries),TSS,103.538992488647
Trinidad and Tobago,TTO,31.976
Tunisia,TUN,7.6278
Turkey,TUR,28.006
Tuvalu,TUV,
Tanzania,TZA,118.1232
Uganda,UGA,114.5604
Ukraine,UKR,25.4852
Upper middle income,UMC,29.852109657360703
Uruguay,URY,56.0292
United States,USA,22.441
Uzbekistan,UZB,16.9212
St. Vincent and the Grenadines,VCT,51.2152
"Venezuela, RB",VEN,86.3302
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,44.121
Vietnam,VNM,30.7942
Vanuatu,VUT,43.0728
World,WLD,45.146149702048994
Samoa,WSM,25.631999999999998
Kosovo,XKX,
"Yemen, Rep.",YEM,63.28
South Africa,ZAF,46.068000000000005
Zambia,ZMB,89.1276
Zimbabwe,ZWE,107.5554
