country,country_code,net_migration
New Zealand,NZL,74403.0
OECD members,OED,13232046.0
Oman,OMN,605000.0
Other small states,OSS,446398.0
Pakistan,PAK,-1071778.0
Panama,PAN,31448.0
Peru,PER,-179540.0
Philippines,PHL,-650000.0
Palau,PLW,
Papua New Guinea,PNG,-1001.0
Poland,POL,-50002.0
Pre-demographic dividend,PRE,-2004805.0
Puerto Rico,PRI,-70002.0
"Korea, Dem. People’s Rep.",PRK,-10156.0
Portugal,PRT,-30001.0
Paraguay,PRY,-82365.0
West Bank and Gaza,PSE,-32816.0
Pacific island small states,PSS,-56855.0
Post-demographic dividend,PST,12156364.0
French Polynesia,PYF,-500.0
Qatar,QAT,200000.0
Romania,ROU,-150000.0
Russian Federation,RUS,799998.0
Rwanda,RWA,-44999.0
South Asia,SAS,-6962017.0
Saudi Arabia,SAU,590000.0
Sudan,SDN,-250001.0
Senegal,SEN,-99996.0
Singapore,SGP,298448.0
Solomon Islands,SLB,-12000.0
Sierra Leone,SLE,-21000.0
El Salvador,SLV,-202694.0
San Marino,SMR,
Somalia,SOM,-199788.0
Serbia,SRB,-50000.0
Sub-Saharan Africa (excluding high income),SSA,-1723595.0
South Sudan,SSD,150000.0
Sub-Saharan Africa,SSF,-1724595.0
Small states,SST,269888.0
Sao Tome and Principe,STP,-4999.0
Suriname,SUR,-4999.0
Slovak Republic,SVK,4999.0
Slovenia,SVN,6002.0
Sweden,SWE,200000.0
Eswatini,SWZ,-9999.0
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,-1000.0
Syrian Arab Republic,SYR,-1240000.0
Turks and Caicos Islands,TCA,
Chad,TCD,10000.0
East Asia & Pacific (IDA & IBRD countries),TEA,-3398749.0
Europe & Central Asia (IDA & IBRD countries),TEC,1512470.0
Togo,TGO,-9999.0
Thailand,THA,97222.0
Tajikistan,TJK,-99999.0
Turkmenistan,TKM,-25001.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,-1500234.0
Timor-Leste,TLS,-50004.0
Middle East & North Africa (IDA & IBRD countries),TMN,-2383421.0
Tonga,TON,-4833.0
South Asia (IDA & IBRD),TSA,-6962017.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,-1724595.0
Trinidad and Tobago,TTO,-4499.0
Tunisia,TUN,-20000.0
Turkey,TUR,1525002.0
Tuvalu,TUV,
Tanzania,TZA,-199999.0
Uganda,UGA,-150000.0
Ukraine,UKR,-100000.0
Upper middle income,UMC,-525277.0
Uruguay,URY,-15000.0
United States,USA,4500000.0
Uzbekistan,UZB,-44314.0
St. Vincent and the Grenadines,VCT,-2996.0
"Venezuela, RB",VEN,-60493.0
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,-2254.0
Vietnam,VNM,-200000.0
Vanuatu,VUT,604.0
World,WLD,0.0
Samoa,WSM,-12500.0
Kosovo,XKX,
"Yemen, Rep.",YEM,-150000.0
South Africa,ZAF,300000.0
Zambia,ZMB,-40000.0
Zimbabwe,ZWE,-99998.0
