country,country_code,oda_pct_of_gni_resid
Sri Lanka,LKA,-0.4994831921086036
Lower middle income,LMC,-1.5181983049409356
Low & middle income,LMY,-0.7346347243658696
Lesotho,LSO,-2.018465613336284
Late-demographic dividend,LTE,-0.5167498200379619
Morocco,MAR,-0.28392295050708016
Moldova,MDA,1.2284614965779026
Madagascar,MDG,0.9661890606109935
Maldives,MDV,0.009764906197137102
Middle East & North Africa,MEA,0.37459716078447747
Mexico,MEX,-0.46428176828836903
Marshall Islands,MHL,18.80979796701813
Middle income,MIC,-0.9394649325618605
"Macedonia, FYR",MKD,1.4073984902079781
Mali,MLI,3.667002811643761
Myanmar,MMR,-0.9874867238908642
Middle East & North Africa (excluding high income),MNA,0.7467932051546364
Montenegro,MNE,1.8573515806142304
Mongolia,MNG,1.1949738868013835
Mozambique,MOZ,5.998893837756788
Mauritania,MRT,2.606598714311774
Mauritius,MUS,0.34711097230193055
Malawi,MWI,10.462208695829592
Malaysia,MYS,-0.08846536485514837
North America,NAC,0.2364200747553576
Namibia,NAM,0.02096690593549866
Niger,NER,5.561666515689841
Nigeria,NGA,-2.0281694708185833
Nicaragua,NIC,0.6465468325976316
Nepal,NPL,0.26342069690317516
Nauru,NRU,24.225542653343773
OECD members,OED,0.03891261687606379
Other small states,OSS,0.3578626478090913
Pakistan,PAK,-1.9876060195766692
Panama,PAN,-0.19700171682072076
Peru,PER,-0.7644868463915252
Philippines,PHL,-1.7771435209451043
Palau,PLW,4.417488941768061
Papua New Guinea,PNG,-1.0171373023232024
Pre-demographic dividend,PRE,-1.4336937984557632
Paraguay,PRY,-0.8620332891216875
West Bank and Gaza,PSE,9.733779385660156
Pacific island small states,PSS,7.977888916166883
Post-demographic dividend,PST,0.07793839852338069
Rwanda,RWA,7.5222986965117675
South Asia,SAS,-2.2158933925831477
Sudan,SDN,-2.6080873407923857
Senegal,SEN,0.24785138240109106
Solomon Islands,SLB,11.430201399826657
Sierra Leone,SLE,16.415400064052022
El Salvador,SLV,-1.467172528604033
Serbia,SRB,0.11083626705838001
Sub-Saharan Africa (excluding high income),SSA,-1.4330596918545595
South Sudan,SSD,10.979473535345054
Sub-Saharan Africa,SSF,-1.432738156031511
Small states,SST,0.4171089339805594
Sao Tome and Principe,STP,10.776254292064634
Suriname,SUR,-0.27829918585284796
Eswatini,SWZ,0.6306065518590558
Seychelles,SYC,0.4358009485876919
Chad,TCD,0.1178632955150345
East Asia & Pacific (IDA & IBRD countries),TEA,-0.8188790560364138
Europe & Central Asia (IDA & IBRD countries),TEC,-0.10371408482911992
Togo,TGO,-1.5699978142869844
Thailand,THA,-0.5477659999542072
Tajikistan,TJK,-0.5142465063456463
Turkmenistan,TKM,-0.5140968732525769
Latin America & the Caribbean (IDA & IBRD countries),TLA,-0.5017751894611413
Timor-Leste,TLS,5.81292619447941
Middle East & North Africa (IDA & IBRD countries),TMN,0.1907869268532234
Tonga,TON,12.642006119539625
South Asia (IDA & IBRD),TSA,-2.219759022008081
Sub-Saharan Africa (IDA & IBRD countries),TSS,-1.7904432786854203
Tunisia,TUN,0.046570845603853606
Turkey,TUR,0.14750653880389614
Tuvalu,TUV,84.6682416197949
Tanzania,TZA,0.552098122648272
Uganda,UGA,0.13876430965519937
Ukraine,UKR,-0.1163297061991917
Upper middle income,UMC,-0.5156539878556402
Uruguay,URY,-0.22953189014369219
Uzbekistan,UZB,-1.8665789816324136
St. Vincent and the Grenadines,VCT,0.49195374344183374
Vietnam,VNM,-0.906317042452472
Vanuatu,VUT,20.9409996354617
World,WLD,-0.3999559778775083
Samoa,WSM,9.267676376731783
Kosovo,XKX,5.354524534429267
"Yemen, Rep.",YEM,-0.6232387230527703
South Africa,ZAF,-0.4081953517146833
Zambia,ZMB,-0.3587692771531752
Zimbabwe,ZWE,-1.0917665576071132
