country,country_code,co2_tons_per_capita_resid
Kuwait,KWT,12.81168425956433
Latin America & Caribbean (excluding high income),LAC,-0.7115900797640204
Lao PDR,LAO,-1.0321870477536905
Lebanon,LBN,0.8565720367458649
Liberia,LBR,0.09769333552368993
Libya,LBY,5.4133320243600345
St. Lucia,LCA,-0.7934274552000544
Latin America & Caribbean,LCN,-0.6191650214998705
Least developed countries: UN classification,LDC,-0.12282790974950475
Low income,LIC,0.02223312867969851
Sri Lanka,LKA,-1.9586300248476367
Lower middle income,LMC,0.06239592169314245
Low & middle income,LMY,1.1721114858980939
Lesotho,LSO,0.6381659626564725
Late-demographic dividend,LTE,2.943380986643972
Lithuania,LTU,-1.4886582400211656
Luxembourg,LUX,0.38951932575790593
Latvia,LVA,-1.6736782531314236
"Macao SAR, China",MAC,-15.482128600485831
Morocco,MAR,-0.00507775577072378
Moldova,MDA,0.33024734530092625
Madagascar,MDG,-0.02677301307108723
Maldives,MDV,-0.28652461385922123
Middle East & North Africa,MEA,1.9039790275274688
Mexico,MEX,-0.16842920293603614
Marshall Islands,MHL,1.1751708791959818
Middle income,MIC,1.2846879983129469
"Macedonia, FYR",MKD,0.24533537867902755
Mali,MLI,-0.21741223661752151
Malta,MLT,-1.5002218036732415
Myanmar,MMR,-0.7237056617207864
Middle East & North Africa (excluding high income),MNA,0.935217199680709
Montenegro,MNE,-0.3202698261168644
Mongolia,MNG,4.183324014509054
Mozambique,MOZ,0.22085194648138373
Mauritania,MRT,-0.08194658346661687
Mauritius,MUS,-1.1238860171117482
Malawi,MWI,-0.006261936269859492
Malaysia,MYS,2.548431591278372
North America,NAC,6.704968664763372
Namibia,NAM,-0.9213286271196623
Niger,NER,0.07765987336811214
Nigeria,NGA,-0.7646326054499917
Nicaragua,NIC,-0.3047836771455159
Netherlands,NLD,1.078736964628085
Norway,NOR,-1.3622546802137148
Nepal,NPL,-0.12191640202007092
Nauru,NRU,0.8364155089290342
New Zealand,NZL,0.47558242302017817
OECD members,OED,1.8870882089825116
Oman,OMN,7.595054590159763
Other small states,OSS,2.3036512130709923
Pakistan,PAK,-0.14653907363469665
Panama,PAN,-2.530517764996692
Peru,PER,-1.0549758573347467
Philippines,PHL,-0.5786317636544036
Palau,PLW,8.696300825938678
Papua New Guinea,PNG,0.006085918620998054
Poland,POL,2.0431363230490396
Pre-demographic dividend,PRE,-0.19282268082007203
Portugal,PRT,-1.6377240512128406
Paraguay,PRY,-1.9915211274304525
Pacific island small states,PSS,-0.1354690980457538
Post-demographic dividend,PST,2.331746969599548
Qatar,QAT,24.527604490133818
Romania,ROU,-1.1893862126091435
Russian Federation,RUS,6.683395582398381
Rwanda,RWA,-0.1777532171527459
South Asia,SAS,0.24655482725457034
Saudi Arabia,SAU,10.055474509221305
Sudan,SDN,-0.6339002185488025
Senegal,SEN,0.041647190132625966
Singapore,SGP,-4.2840735190337895
Solomon Islands,SLB,-0.011184686140705669
Sierra Leone,SLE,0.0443483833463727
El Salvador,SLV,-0.6730331113502637
Serbia,SRB,1.876134484630804
Sub-Saharan Africa (excluding high income),SSA,0.11176629641155034
South Sudan,SSD,-0.15927211880960007
Sub-Saharan Africa,SSF,0.11166165161392994
Small states,SST,2.6057524494942976
Sao Tome and Principe,STP,0.02036169390453213
Suriname,SUR,-0.09934529596097974
Slovak Republic,SVK,-0.30602422694212805
Slovenia,SVN,-0.06126136495590373
Sweden,SWE,-4.132062910537878
Eswatini,SWZ,-0.9469925923390656
Sint Maarten (Dutch part),SXM,12.664515939153233
Seychelles,SYC,-0.036853003916109905
Chad,TCD,-0.2860692907255727
East Asia & Pacific (IDA & IBRD countries),TEA,2.634961641798217
Europe & Central Asia (IDA & IBRD countries),TEC,2.9595399699928127
Togo,TGO,0.1865915962140058
Thailand,THA,0.7624805360703304
Tajikistan,TJK,0.12824186229493073
Turkmenistan,TKM,8.712484111401238
Latin America & the Caribbean (IDA & IBRD countries),TLA,-0.63352055585099
Timor-Leste,TLS,-1.3902445463059274
Middle East & North Africa (IDA & IBRD countries),TMN,0.9508402977534915
Tonga,TON,-0.03229465876598936
South Asia (IDA & IBRD),TSA,0.24655482725457034
Sub-Saharan Africa (IDA & IBRD countries),TSS,0.11166165161392994
Trinidad and Tobago,TTO,27.570474367090366
Tunisia,TUN,-0.16089206035962667
Turkey,TUR,-0.6996232882586453
Tuvalu,TUV,0.30857669063697835
Tanzania,TZA,-0.23106250618642987
Uganda,UGA,-0.09890696034464666
Ukraine,UKR,3.225350870157434
Upper middle income,UMC,2.7790079312719316
Uruguay,URY,-2.656686056021085
United States,USA,6.674784880477688
Uzbekistan,UZB,2.106209168769019
St. Vincent and the Grenadines,VCT,-0.7385552219885523
Vietnam,VNM,0.5284728396486378
Vanuatu,VUT,0.058522199785544515
World,WLD,1.213376908550524
Samoa,WSM,-0.24662883746150044
"Yemen, Rep.",YEM,0.2607300834518681
South Africa,ZAF,5.766624680291811
Zambia,ZMB,-0.46735078301576954
Zimbabwe,ZWE,0.40567556123163795
