"","country","idps","country.code"
"82","Italy",0,"ITA"
"83","Jamaica",0,"JAM"
"84","Japan",0,"JPN"
"85","Jordan",0,"JOR"
"86","Kazakhstan",0,"KAZ"
"87","Kenya",0,"KEN"
"88","Kuwait",0,"KWT"
"89","Kyrgyzstan",0,"KGZ"
"90","Latvia",0,"LVA"
"91","Lebanon",0,"LBN"
"92","Lesotho",0,"LSO"
"93","Liberia",0,"LBR"
"94","Libya",434869,"LBY"
"95","Liechtenstein",0,"LIE"
"96","Lithuania",0,"LTU"
"97","Luxembourg",0,"LUX"
"98","Madagascar",0,"MDG"
"99","Malawi",0,"MWI"
"100","Malaysia",0,"MYS"
"101","Mali",61920,"MLI"
"102","Malta",0,"MLT"
"103","Mauritania",0,"MRT"
"104","Mexico",0,"MEX"
"105","Micronesia (Federated States of)",0,"FSM"
"106","Monaco",0,"MCO"
"107","Mongolia",0,"MNG"
"108","Montenegro",0,"MNE"
"109","Morocco",0,"MAR"
"110","Mozambique",0,"MOZ"
"111","Myanmar",451089,"MMR"
"112","Namibia",0,"NAM"
"113","Nauru",0,"NRU"
"114","Nepal",0,"NPL"
"115","Netherlands",0,"NLD"
"116","New Zealand",0,"NZL"
"117","Nicaragua",0,"NIC"
"118","Niger",137337,"NER"
"119","Nigeria",2172532,"NGA"
"120","Norway",0,"NOR"
"121","Oman",0,"OMN"
"122","Pakistan",1146108,"PAK"
"123","Panama",0,"PAN"
"124","Papua New Guinea",0,"PNG"
"125","Paraguay",0,"PRY"
"126","Peru",0,"PER"
"127","Philippines",63174,"PHL"
"128","Poland",0,"POL"
"129","Portugal",0,"ORT"
"130","Qatar",0,"QAT"
"131","Rep. of Korea",0,"KOR"
"132","Rep. of Moldova",0,"MDA"
"133","Romania",0,"ROU"
"134","Russian Federation",0,"RUS"
"135","Rwanda",0,"RWA"
"136","Saint Lucia",0,"LCA"
"137","Samoa",0,"WSM"
"138","Saudi Arabia",0,"SAU"
"139","Senegal",0,"SEN"
"140","Serbia and Kosovo (S/RES/1244 (1999))",220002,"SRB"
"141","Sierra Leone",0,"SLE"
"142","Singapore",0,"SGP"
"143","Sint Maarten (Dutch part)",0,"SXM"
"144","Slovakia",0,"SVK"
"145","Slovenia",0,"SVN"
"146","Solomon Islands",0,"SLB"
"147","Somalia",1133000,"SOM"
"148","South Africa",0,"ZAF"
"149","South Sudan",1790427,"SSD"
"150","Spain",0,"ESP"
"151","Sri Lanka",44934,"LKA"
"152","Sudan",3218234,"SDN"
"153","Suriname",0,"SUR"
"154","Swaziland",0,"SWZ"
"155","Sweden",0,"SWE"
"156","Switzerland",0,"CHE"
"157","Syrian Arab Rep.",6563462,"SYR"
"158","Tajikistan",0,"TJK"
"159","Thailand",0,"THA"
"160","The former Yugoslav Republic of Macedonia",0,"MKD"
"161","Timor-Leste",0,"TMP"
"162","Togo",0,"TGO"
"163","Trinidad and Tobago",0,"TTO"
"164","Tunisia",0,"TUN"
"165","Turkey",0,"TUR"
"166","Turkmenistan",0,"TKM"
"167","Turks and Caicos Islands",0,"TCA"
"168","Uganda",0,"UGA"
"169","Ukraine",1600000,"UKR"
"170","United Arab Emirates",0,"UAE"
"171","United Kingdom",0,"GBR"
"172","United Rep. of Tanzania",0,"TZA"
"173","United States of America",0,"USA"
"174","Uruguay",0,"URY"
"175","Uzbekistan",0,"UZB"
"176","Vanuatu",0,"VUT"
"177","Venezuela (Bolivarian Republic of)",0,"VEN"
"178","Viet Nam",0,"VNM"
"179","Yemen",2532032,"YEM"
"180","Zambia",0,"ZMB"
"181","Zimbabwe",0,"ZWE"
