"","country","country.code","mmr"
"80","United Kingdom","GBR","9"
"81","Georgia","GEO","36"
"82","Ghana","GHA","319"
"83","Gibraltar","GIB",NA
"84","Guinea","GIN","679"
"85","Gambia, The","GMB","706"
"86","Guinea-Bissau","GNB","549"
"87","Equatorial Guinea","GNQ","342"
"88","Greece","GRC","3"
"89","Grenada","GRD","27"
"90","Greenland","GRL",NA
"91","Guatemala","GTM","88"
"92","Guam","GUM",NA
"93","Guyana","GUY","229"
"94","High income","HIC","13"
"95","Hong Kong SAR, China","HKG",NA
"96","Honduras","HND","129"
"97","Heavily indebted poor countries (HIPC)","HPC","482"
"98","Croatia","HRV","8"
"99","Haiti","HTI","359"
"100","Hungary","HUN","17"
"101","IBRD only","IBD","100"
"102","IDA & IBRD total","IBT","236"
"103","IDA total","IDA","452"
"104","IDA blend","IDB","506"
"105","Indonesia","IDN","126"
"106","IDA only","IDX","424"
"107","Isle of Man","IMN",NA
"108","India","IND","174"
"109","Not classified","INX",NA
"110","Ireland","IRL","8"
"111","Iran, Islamic Rep.","IRN","25"
"112","Iraq","IRQ","50"
"113","Iceland","ISL","3"
"114","Israel","ISR","5"
"115","Italy","ITA","4"
"116","Jamaica","JAM","89"
"117","Jordan","JOR","58"
"118","Japan","JPN","5"
"119","Kazakhstan","KAZ","12"
"120","Kenya","KEN","510"
"121","Kyrgyz Republic","KGZ","76"
"122","Cambodia","KHM","161"
"123","Kiribati","KIR","90"
"124","St. Kitts and Nevis","KNA",NA
"125","Korea, Rep.","KOR","11"
"126","Kuwait","KWT","4"
"127","Latin America & Caribbean (excluding high income)","LAC","70"
"128","Lao PDR","LAO","197"
"129","Lebanon","LBN","15"
"130","Liberia","LBR","725"
"131","Libya","LBY","9"
"132","St. Lucia","LCA","48"
"133","Latin America & Caribbean","LCN","67"
"134","Least developed countries: UN classification","LDC","436"
"135","Low income","LIC","479"
"136","Liechtenstein","LIE",NA
"137","Sri Lanka","LKA","30"
"138","Lower middle income","LMC","257"
"139","Low & middle income","LMY","238"
"140","Lesotho","LSO","487"
"141","Late-demographic dividend","LTE","34"
"142","Lithuania","LTU","10"
"143","Luxembourg","LUX","10"
"144","Latvia","LVA","18"
"145","Macao SAR, China","MAC",NA
"146","St. Martin (French part)","MAF",NA
"147","Morocco","MAR","121"
"148","Monaco","MCO",NA
"149","Moldova","MDA","23"
"150","Madagascar","MDG","353"
"151","Maldives","MDV","68"
"152","Middle East & North Africa","MEA","81"
"153","Mexico","MEX","38"
"154","Marshall Islands","MHL",NA
"155","Middle income","MIC","180"
"156","Macedonia, FYR","MKD","8"
"157","Mali","MLI","587"
"158","Malta","MLT","9"
"159","Myanmar","MMR","178"
"160","Middle East & North Africa (excluding high income)","MNA","90"
"161","Montenegro","MNE","7"
"162","Mongolia","MNG","44"
"163","Northern Mariana Islands","MNP",NA
"164","Mozambique","MOZ","489"
"165","Mauritania","MRT","602"
"166","Mauritius","MUS","53"
"167","Malawi","MWI","634"
"168","Malaysia","MYS","40"
"169","North America","NAC","13"
"170","Namibia","NAM","265"
"171","New Caledonia","NCL",NA
"172","Niger","NER","553"
"173","Nigeria","NGA","814"
"174","Nicaragua","NIC","150"
"175","Netherlands","NLD","7"
"176","Norway","NOR","5"
"177","Nepal","NPL","258"
"178","Nauru","NRU",NA
"179","New Zealand","NZL","11"
"180","OECD members","OED","14"
"181","Oman","OMN","17"
"182","Other small states","OSS","316"
"183","Pakistan","PAK","178"
"184","Panama","PAN","94"
"185","Peru","PER","68"
"186","Philippines","PHL","114"
"187","Palau","PLW",NA
"188","Papua New Guinea","PNG","215"
"189","Poland","POL","3"
"190","Pre-demographic dividend","PRE","568"
"191","Puerto Rico","PRI","14"
"192","Korea, Dem. People’s Rep.","PRK","82"
"193","Portugal","PRT","10"
"194","Paraguay","PRY","132"
"195","West Bank and Gaza","PSE","45"
"196","Pacific island small states","PSS","75"
"197","Post-demographic dividend","PST","10"
"198","French Polynesia","PYF",NA
"199","Qatar","QAT","13"
"200","Romania","ROU","31"
"201","Russian Federation","RUS","25"
"202","Rwanda","RWA","290"
"203","South Asia","SAS","182"
"204","Saudi Arabia","SAU","12"
"205","Sudan","SDN","311"
"206","Senegal","SEN","315"
"207","Singapore","SGP","10"
"208","Solomon Islands","SLB","114"
"209","Sierra Leone","SLE","1360"
"210","El Salvador","SLV","54"
"211","San Marino","SMR",NA
"212","Somalia","SOM","732"
"213","Serbia","SRB","17"
"214","Sub-Saharan Africa (excluding high income)","SSA","547"
"215","South Sudan","SSD","789"
"216","Sub-Saharan Africa","SSF","547"
"217","Small states","SST","272"
"218","Sao Tome and Principe","STP","156"
"219","Suriname","SUR","155"
"220","Slovak Republic","SVK","6"
"221","Slovenia","SVN","9"
"222","Sweden","SWE","4"
"223","Eswatini","SWZ","389"
"224","Sint Maarten (Dutch part)","SXM",NA
"225","Seychelles","SYC",NA
"226","Syrian Arab Republic","SYR","68"
"227","Turks and Caicos Islands","TCA",NA
"228","Chad","TCD","856"
"229","East Asia & Pacific (IDA & IBRD countries)","TEA","63"
"230","Europe & Central Asia (IDA & IBRD countries)","TEC","23"
"231","Togo","TGO","368"
"232","Thailand","THA","20"
"233","Tajikistan","TJK","32"
"234","Turkmenistan","TKM","42"
"235","Latin America & the Caribbean (IDA & IBRD countries)","TLA","68"
"236","Timor-Leste","TLS","215"
"237","Middle East & North Africa (IDA & IBRD countries)","TMN","91"
"238","Tonga","TON","124"
"239","South Asia (IDA & IBRD)","TSA","182"
"240","Sub-Saharan Africa (IDA & IBRD countries)","TSS","547"
"241","Trinidad and Tobago","TTO","63"
"242","Tunisia","TUN","62"
"243","Turkey","TUR","16"
"244","Tuvalu","TUV",NA
"245","Tanzania","TZA","398"
"246","Uganda","UGA","343"
"247","Ukraine","UKR","24"
"248","Upper middle income","UMC","41"
"249","Uruguay","URY","15"
"250","United States","USA","14"
"251","Uzbekistan","UZB","36"
"252","St. Vincent and the Grenadines","VCT","45"
"253","Venezuela, RB","VEN","95"
"254","British Virgin Islands","VGB",NA
"255","Virgin Islands (U.S.)","VIR",NA
"256","Vietnam","VNM","54"
"257","Vanuatu","VUT","78"
"258","World","WLD","216"
"259","Samoa","WSM","51"
"260","Kosovo","XKX",NA
"261","Yemen, Rep.","YEM","385"
"262","South Africa","ZAF","138"
"263","Zambia","ZMB","224"
"264","Zimbabwe","ZWE","443"
