,country,country_code,mobile_phone_subscriptions_pct_pop_resid
91,St. Kitts and Nevis,KNA,8.460552117843747
92,"Korea, Rep.",KOR,-10.208446973344323
93,Kuwait,KWT,15.691178267725348
94,Lao PDR,LAO,-31.65435773599321
95,Lebanon,LBN,-37.54035219355835
96,Liberia,LBR,14.525667280945527
97,Libya,LBY,35.79276093190744
98,St. Lucia,LCA,-7.209103605185987
99,Sri Lanka,LKA,5.227635757402368
100,Lesotho,LSO,24.756944881683793
101,Lithuania,LTU,16.84679223686048
102,Luxembourg,LUX,1.181938501636978
103,Latvia,LVA,4.22061394314818
104,"Macao SAR, China",MAC,173.137803717806
105,Morocco,MAR,29.32000068401682
106,Moldova,MDA,8.305849075533587
107,Madagascar,MDG,-23.26016687804683
108,Maldives,MDV,58.40847358559111
109,Mexico,MEX,-37.02644624707588
110,Marshall Islands,MHL,-48.81090058084052
111,"Macedonia, FYR",MKD,-16.140014316599775
112,Mali,MLI,60.00710050953546
113,Malta,MLT,-4.1844062848148695
114,Myanmar,MMR,-6.199950825910705
115,Montenegro,MNE,39.0848481471088
116,Mongolia,MNG,-8.274402245086975
117,Mozambique,MOZ,5.721025567435447
118,Mauritania,MRT,9.374303193857472
119,Mauritius,MUS,14.978512101838334
120,Malawi,MWI,-28.655208364279176
121,Malaysia,MYS,17.625967499512498
122,Namibia,NAM,-0.933581706975815
123,Niger,NER,-20.138332907543045
124,Nigeria,NGA,-4.018734971636107
125,Nicaragua,NIC,35.46351922994805
126,Netherlands,NLD,-4.926455628119854
127,Norway,NOR,-20.197152071556488
128,Nepal,NPL,24.231772025296195
129,Nauru,NRU,-30.718825128819915
130,New Zealand,NZL,-5.611833189826058
131,Oman,OMN,31.171669255015303
132,Pakistan,PAK,-16.303640700057485
133,Panama,PAN,19.091201795483627
134,Peru,PER,-3.4348967800736006
135,Philippines,PHL,23.25906453401693
136,Palau,PLW,-7.736218104036624
137,Papua New Guinea,PNG,-33.84297220836163
138,Poland,POL,16.593240614070538
139,Puerto Rico,PRI,-39.711899177972015
140,Portugal,PRT,-13.410294192265553
141,Paraguay,PRY,1.285892449304356
142,West Bank and Gaza,PSE,-7.138845282701254
143,Qatar,QAT,2.6564911783681566
144,Romania,ROU,-9.117964027839378
145,Russian Federation,RUS,32.205112823871644
146,Rwanda,RWA,6.249583659987891
147,Saudi Arabia,SAU,38.84052099208631
148,Sudan,SDN,-8.641149723125295
149,Senegal,SEN,25.26326270856677
150,Singapore,SGP,11.801535635076192
151,Solomon Islands,SLB,1.2762997232462538
152,Sierra Leone,SLE,11.077564104212684
153,El Salvador,SLV,54.63421358612278
154,San Marino,SMR,-18.600584664201648
155,Serbia,SRB,13.596858817495672
156,South Sudan,SSD,-45.335491417145846
157,Sao Tome and Principe,STP,19.85020247363954
158,Suriname,SUR,15.557631753680141
159,Slovak Republic,SVK,-3.120144235319813
160,Slovenia,SVN,-12.537618748761417
161,Sweden,SWE,1.8465163558727369
162,Eswatini,SWZ,-25.150824449484006
163,Seychelles,SYC,32.20291798142972
164,Chad,TCD,-31.617555912419554
165,Togo,TGO,-2.262701685859895
166,Thailand,THA,28.71297501757347
167,Tajikistan,TJK,25.990657318965617
168,Turkmenistan,TKM,20.12573576703258
169,Timor-Leste,TLS,16.025234288549484
170,Tonga,TON,-15.93444294572329
171,Trinidad and Tobago,TTO,29.72963404019501
172,Tunisia,TUN,20.427592618118695
173,Turkey,TUR,-31.678412026137906
174,Tuvalu,TUV,-16.928761143807584
175,Tanzania,TZA,1.00442013176243
176,Uganda,UGA,-18.380579484823862
177,Ukraine,UKR,48.78228576411375
178,Uruguay,URY,25.170501048860842
179,United States,USA,-9.415840178344155
180,Uzbekistan,UZB,-17.014343025973133
181,St. Vincent and the Grenadines,VCT,-4.314271405659312
182,Vietnam,VNM,41.90870590909023
183,Vanuatu,VUT,-8.016676899468195
184,Samoa,WSM,-24.504317015930674
185,"Yemen, Rep.",YEM,-19.45244910076663
186,South Africa,ZAF,44.606217430618784
187,Zambia,ZMB,-6.099000122010352
188,Zimbabwe,ZWE,9.618189264416557
189,Andorra,AND,
190,American Samoa,ASM,
191,Bermuda,BMU,
192,Channel Islands,CHI,
193,Cuba,CUB,
194,Curacao,CUW,
195,Djibouti,DJI,
196,Eritrea,ERI,
197,Faroe Islands,FRO,
198,Gibraltar,GIB,
199,Greenland,GRL,
200,Guam,GUM,
201,Isle of Man,IMN,
202,Liechtenstein,LIE,
203,St. Martin (French part),MAF,
204,Monaco,MCO,
205,Northern Mariana Islands,MNP,
206,New Caledonia,NCL,
207,"Korea, Dem. People’s Rep.",PRK,
208,French Polynesia,PYF,
209,Somalia,SOM,
210,Sint Maarten (Dutch part),SXM,
211,Syrian Arab Republic,SYR,
212,Turks and Caicos Islands,TCA,
213,"Venezuela, RB",VEN,
214,British Virgin Islands,VGB,
215,Virgin Islands (U.S.),VIR,
216,Kosovo,XKX,
