country,country_code,net_migration_resid
Heavily indebted poor countries (HIPC),HPC,-2392681.39605753
Croatia,HRV,-35199.387670883305
Haiti,HTI,-114360.59268046886
Hungary,HUN,7838.161103369581
IBRD only,IBD,-5825091.967932429
IDA & IBRD total,IBT,-14392972.716557134
IDA total,IDA,-8507640.43231425
IDA blend,IDB,-1640355.509170996
Indonesia,IDN,-762363.9803204123
IDA only,IDX,-6804192.754652391
India,IND,-2385495.2104646806
Ireland,IRL,-141647.42148522925
"Iran, Islamic Rep.",IRN,-239263.96038675448
Iraq,IRQ,85568.77324833284
Iceland,ISL,-147858.59616394402
Israel,ISR,-51196.04499043849
Italy,ITA,243764.0570311278
Jamaica,JAM,-27830.525230019783
Jordan,JOR,65113.04958150739
Japan,JPN,120505.01984013898
Kazakhstan,KAZ,-12175.74553698881
Kenya,KEN,12054.753605119506
Kyrgyz Republic,KGZ,-37518.92452022597
Cambodia,KHM,-87462.2494941227
Kiribati,KIR,58892.208098723444
"Korea, Rep.",KOR,103582.93793961272
Kuwait,KWT,-61040.54227658955
Latin America & Caribbean (excluding high income),LAC,-1677543.326186077
Lao PDR,LAO,-9016.11755598065
Lebanon,LBN,-94973.14282088852
Liberia,LBR,35061.56287826343
Libya,LBY,35759.58851329154
St. Lucia,LCA,60398.99589862797
Latin America & Caribbean,LCN,-1623339.1445277915
Least developed countries: UN classification,LDC,-5185906.87026509
Low income,LIC,-3614652.64628494
Sri Lanka,LKA,-388050.77133157966
Lower middle income,LMC,-10374131.499262871
Low & middle income,LMY,-14575680.847495504
Lesotho,LSO,41922.507881996746
Late-demographic dividend,LTE,-1053157.734992633
Lithuania,LTU,-73607.88655056033
Luxembourg,LUX,-136662.6872264257
Latvia,LVA,-59142.363041478166
"Macao SAR, China",MAC,-137118.0401903945
Morocco,MAR,-191994.70081314893
Moldova,MDA,49515.07580597374
Madagascar,MDG,52777.686066369126
Maldives,MDV,62026.04983144366
Middle East & North Africa,MEA,-300634.1037834987
Mexico,MEX,-262512.62684199185
Middle income,MIC,-10901336.31235265
"Macedonia, FYR",MKD,51360.591945810316
Mali,MLI,-139019.90808557757
Malta,MLT,-95174.36272587437
Myanmar,MMR,-35938.501600256604
Middle East & North Africa (excluding high income),MNA,-2354972.3460430014
Montenegro,MNE,40284.3574485356
Mongolia,MNG,46518.91216826296
Mozambique,MOZ,34922.44060741495
Mauritania,MRT,88347.19057320154
Mauritius,MUS,23354.46385530969
Malawi,MWI,-118.92176267647301
Malaysia,MYS,223407.27785463922
North America,NAC,5433536.2791162245
Namibia,NAM,60769.45663562686
Niger,NER,31127.237623286223
Nigeria,NGA,-235538.47809197125
Nicaragua,NIC,-42353.5072648498
Netherlands,NLD,-73665.52226332418
Norway,NOR,-32396.574209103856
Nepal,NPL,-288540.0554647338
New Zealand,NZL,-39676.94515843569
OECD members,OED,13101666.858195592
Oman,OMN,468673.18246735714
Other small states,OSS,434703.4075333399
Pakistan,PAK,-1007983.9531675327
Panama,PAN,42006.95041984732
Peru,PER,-118682.03740933265
Philippines,PHL,-585005.4984853058
Papua New Guinea,PNG,62055.069284835874
Poland,POL,-75958.4206319082
Pre-demographic dividend,PRE,-1942029.4490405894
Puerto Rico,PRI,-182461.85317608956
Portugal,PRT,-83867.09074943856
Paraguay,PRY,-20484.024111577237
West Bank and Gaza,PSE,30991.700912712542
Pacific island small states,PSS,7353.658584395605
Post-demographic dividend,PST,12015829.272953497
Qatar,QAT,39077.24384202482
Romania,ROU,-135834.31319444938
Russian Federation,RUS,790724.7923574301
Rwanda,RWA,15747.895830297697
South Asia,SAS,-6897771.400512798
Saudi Arabia,SAU,426634.53994534665
Sudan,SDN,-186533.53608729286
Senegal,SEN,-37847.412427989235
Singapore,SGP,140141.43515767084
Solomon Islands,SLB,49262.62126093442
Sierra Leone,SLE,39192.63767255991
El Salvador,SLV,-137657.82955164378
Serbia,SRB,5638.70465279671
Sub-Saharan Africa (excluding high income),SSA,-1660824.267890605
South Sudan,SSD,210925.2019443693
Sub-Saharan Africa,SSF,-1661822.3293503597
Small states,SST,280736.3574442709
Sao Tome and Principe,STP,57177.22383067595
Suriname,SUR,42028.740307852015
Slovak Republic,SVK,-48783.887216209034
Slovenia,SVN,-62690.22273978981
Sweden,SWE,49470.00730168563
Eswatini,SWZ,55165.86877555302
Seychelles,SYC,-25841.44788442585
Chad,TCD,71162.77227731739
East Asia & Pacific (IDA & IBRD countries),TEA,-3339564.987048001
Europe & Central Asia (IDA & IBRD countries),TEC,1537105.5346559363
Togo,TGO,50374.496371929265
Thailand,THA,140496.98725767882
Tajikistan,TJK,-38161.747203335835
Turkmenistan,TKM,19923.240655439382
Latin America & the Caribbean (IDA & IBRD countries),TLA,-1451212.2099702705
Timor-Leste,TLS,15116.301903864158
Middle East & North Africa (IDA & IBRD countries),TMN,-2322315.80969411
Tonga,TON,59318.04337837467
South Asia (IDA & IBRD),TSA,-6897771.400512798
Sub-Saharan Africa (IDA & IBRD countries),TSS,-1661822.3293503597
Trinidad and Tobago,TTO,-88891.48934554409
Tunisia,TUN,42273.0458366884
Turkey,TUR,1514741.5690299196
Tanzania,TZA,-138332.67067717
Uganda,UGA,-89341.55334870328
Ukraine,UKR,-34868.76191548446
Upper middle income,UMC,-480426.09221929684
Uruguay,URY,2542.562475708288
United States,USA,4330823.600967927
Uzbekistan,UZB,20156.59266464114
St. Vincent and the Grenadines,VCT,59577.9157660312
Vietnam,VNM,-135615.2501461631
Vanuatu,VUT,62626.73660233139
World,WLD,46253.05072727978
Samoa,WSM,51887.70198277119
"Yemen, Rep.",YEM,-87703.00199853658
South Africa,ZAF,358873.9740239798
Zambia,ZMB,22869.829308988818
Zimbabwe,ZWE,-38677.95804298977
