,country,country_code,oda_pct_of_gni_resid
146,Morocco,MAR,-0.28392295050708016
148,Moldova,MDA,1.2284614965779026
149,Madagascar,MDG,0.9661890606109935
150,Maldives,MDV,0.009764906197137102
151,Middle East & North Africa,MEA,0.37459716078447747
152,Mexico,MEX,-0.46428176828836903
153,Marshall Islands,MHL,18.80979796701813
154,Middle income,MIC,-0.9394649325618605
155,"Macedonia, FYR",MKD,1.4073984902079781
156,Mali,MLI,3.667002811643761
158,Myanmar,MMR,-0.9874867238908642
159,Middle East & North Africa (excluding high income),MNA,0.7467932051546364
160,Montenegro,MNE,1.8573515806142304
161,Mongolia,MNG,1.1949738868013835
163,Mozambique,MOZ,5.998893837756788
164,Mauritania,MRT,2.606598714311774
165,Mauritius,MUS,0.34711097230193055
166,Malawi,MWI,10.462208695829592
167,Malaysia,MYS,-0.08846536485514837
168,North America,NAC,0.2364200747553576
169,Namibia,NAM,0.02096690593549866
171,Niger,NER,5.561666515689841
172,Nigeria,NGA,-2.0281694708185833
173,Nicaragua,NIC,0.6465468325976316
176,Nepal,NPL,0.26342069690317516
177,Nauru,NRU,24.225542653343773
179,OECD members,OED,0.03891261687606379
181,Other small states,OSS,0.3578626478090913
182,Pakistan,PAK,-1.9876060195766692
183,Panama,PAN,-0.19700171682072076
184,Peru,PER,-0.7644868463915252
185,Philippines,PHL,-1.7771435209451043
186,Palau,PLW,4.417488941768061
187,Papua New Guinea,PNG,-1.0171373023232024
189,Pre-demographic dividend,PRE,-1.4336937984557632
193,Paraguay,PRY,-0.8620332891216875
194,West Bank and Gaza,PSE,9.733779385660156
195,Pacific island small states,PSS,7.977888916166883
196,Post-demographic dividend,PST,0.07793839852338069
201,Rwanda,RWA,7.5222986965117675
202,South Asia,SAS,-2.2158933925831477
204,Sudan,SDN,-2.6080873407923857
205,Senegal,SEN,0.24785138240109106
207,Solomon Islands,SLB,11.430201399826657
208,Sierra Leone,SLE,16.415400064052022
209,El Salvador,SLV,-1.467172528604033
212,Serbia,SRB,0.11083626705838001
213,Sub-Saharan Africa (excluding high income),SSA,-1.4330596918545595
214,South Sudan,SSD,10.979473535345054
215,Sub-Saharan Africa,SSF,-1.432738156031511
216,Small states,SST,0.4171089339805594
217,Sao Tome and Principe,STP,10.776254292064634
218,Suriname,SUR,-0.27829918585284796
222,Eswatini,SWZ,0.6306065518590558
224,Seychelles,SYC,0.4358009485876919
227,Chad,TCD,0.1178632955150345
228,East Asia & Pacific (IDA & IBRD countries),TEA,-0.8188790560364138
229,Europe & Central Asia (IDA & IBRD countries),TEC,-0.10371408482911992
230,Togo,TGO,-1.5699978142869844
231,Thailand,THA,-0.5477659999542072
232,Tajikistan,TJK,-0.5142465063456463
233,Turkmenistan,TKM,-0.5140968732525769
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,-0.5017751894611413
235,Timor-Leste,TLS,5.81292619447941
236,Middle East & North Africa (IDA & IBRD countries),TMN,0.1907869268532234
237,Tonga,TON,12.642006119539625
238,South Asia (IDA & IBRD),TSA,-2.219759022008081
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,-1.7904432786854203
241,Tunisia,TUN,0.046570845603853606
242,Turkey,TUR,0.14750653880389614
243,Tuvalu,TUV,84.6682416197949
244,Tanzania,TZA,0.552098122648272
245,Uganda,UGA,0.13876430965519937
246,Ukraine,UKR,-0.1163297061991917
247,Upper middle income,UMC,-0.5156539878556402
248,Uruguay,URY,-0.22953189014369219
250,Uzbekistan,UZB,-1.8665789816324136
251,St. Vincent and the Grenadines,VCT,0.49195374344183374
255,Vietnam,VNM,-0.906317042452472
256,Vanuatu,VUT,20.9409996354617
257,World,WLD,-0.3999559778775083
258,Samoa,WSM,9.267676376731783
259,Kosovo,XKX,5.354524534429267
260,"Yemen, Rep.",YEM,-0.6232387230527703
261,South Africa,ZAF,-0.4081953517146833
262,Zambia,ZMB,-0.3587692771531752
263,Zimbabwe,ZWE,-1.0917665576071132
