,country,country_code,co2_tons_per_capita_resid
85,Jordan,JOR,1.1809514719608796
86,Japan,JPN,2.184545247572866
87,Kazakhstan,KAZ,9.557076760877987
88,Kenya,KEN,-0.2314896409312432
89,Kyrgyz Republic,KGZ,1.015217733777714
90,Cambodia,KHM,-0.2052873513123732
91,Kiribati,KIR,0.21883902844888586
92,St. Kitts and Nevis,KNA,-0.9084972523041142
93,"Korea, Rep.",KOR,5.0542871409928045
94,Kuwait,KWT,12.821181012331689
95,Lao PDR,LAO,-0.8984304515357924
96,Lebanon,LBN,1.3508389125698246
97,Liberia,LBR,0.029135494781584365
98,Libya,LBY,5.947332238430509
99,St. Lucia,LCA,-0.3635623007853197
100,Sri Lanka,LKA,-1.5753300008934006
101,Lesotho,LSO,0.63510510808972
102,Lithuania,LTU,-1.1096905644676305
103,Luxembourg,LUX,0.2436006491085898
104,Latvia,LVA,-1.249449438362443
105,"Macao SAR, China",MAC,-15.650221411541049
106,Morocco,MAR,0.19773580001319924
107,Moldova,MDA,0.4184200715976163
108,Madagascar,MDG,-0.08847545317856303
109,Maldives,MDV,0.22641371431960167
110,Mexico,MEX,0.3810065246922316
111,Marshall Islands,MHL,1.2145670158388615
112,"Macedonia, FYR",MKD,0.7257782825728456
113,Mali,MLI,-0.25552826835181475
114,Malta,MLT,-1.1878292057406066
115,Myanmar,MMR,-0.6215074489772356
116,Montenegro,MNE,0.22422170013715892
117,Mongolia,MNG,4.583925038204232
118,Mozambique,MOZ,0.14797608019599484
119,Mauritania,MRT,-0.045413529680346176
120,Mauritius,MUS,-0.6066045920272729
121,Malawi,MWI,-0.08040769452361039
122,Malaysia,MYS,2.9412438717483855
123,Namibia,NAM,-0.589251476483573
124,Niger,NER,-0.004234014185590551
125,Nigeria,NGA,-0.6340598555449968
126,Nicaragua,NIC,-0.2071061882253109
127,Netherlands,NLD,1.233171721649546
128,Norway,NOR,-1.3136734928400458
129,Nepal,NPL,-0.14268460157889185
130,Nauru,NRU,1.2825153311127706
131,New Zealand,NZL,0.7620295219291542
132,Oman,OMN,7.826936359764366
133,Pakistan,PAK,-0.060676521109757964
134,Panama,PAN,-2.0463077871543596
135,Peru,PER,-0.6351774181642755
136,Philippines,PHL,-0.39458806052432616
137,Palau,PLW,9.22248657528677
138,Papua New Guinea,PNG,0.05264560055105716
139,Poland,POL,2.436510343042281
140,Portugal,PRT,-1.2628393317528035
141,Paraguay,PRY,-1.6056358367074601
142,Pacific island small states,PSS,-0.023351049056780315
143,Qatar,QAT,24.262786679234722
144,Romania,ROU,-0.6942437940766863
145,Russian Federation,RUS,7.107318935413051
146,Rwanda,RWA,-0.2239264020273543
147,South Asia,SAS,0.3612290375066387
148,Saudi Arabia,SAU,10.16189804974407
149,Sudan,SDN,-0.5663531270200506
150,Senegal,SEN,0.04779517215694473
151,Singapore,SGP,-4.34689464065759
152,Solomon Islands,SLB,-0.039216340889704326
153,Sierra Leone,SLE,-0.0200736167053579
154,El Salvador,SLV,-0.4825279800091955
155,Serbia,SRB,2.3636134172494967
156,South Sudan,SSD,-0.19930570396439756
157,Sub-Saharan Africa,SSF,0.14484665353194692
158,Sao Tome and Principe,STP,0.027647585901061644
159,Suriname,SUR,0.43356596095317723
160,Slovak Republic,SVK,0.06893659494674598
161,Slovenia,SVN,0.29720396601205934
162,Sweden,SWE,-3.9601381727021776
163,Eswatini,SWZ,-0.7238789545392526
164,Sint Maarten (Dutch part),SXM,12.985286090137151
165,Seychelles,SYC,0.3575740755701249
166,Chad,TCD,-0.31770665113882945
167,Togo,TGO,0.12798745478350929
168,Thailand,THA,1.3062443094852054
169,Tajikistan,TJK,0.12189638762720673
170,Turkmenistan,TKM,9.250558856906629
171,Timor-Leste,TLS,-1.1829371274197558
172,Tonga,TON,0.07591869420720765
173,Trinidad and Tobago,TTO,27.90725782827269
174,Tunisia,TUN,0.20726256283600542
175,Turkey,TUR,-0.27804234158379515
176,Tuvalu,TUV,0.3369298389642653
177,Tanzania,TZA,-0.24403221929332825
178,Uganda,UGA,-0.1480762676401942
179,Ukraine,UKR,3.435583369653847
180,Uruguay,URY,-2.1531110481991593
181,United States,USA,6.753783888969686
182,Uzbekistan,UZB,2.2374908248858025
183,St. Vincent and the Grenadines,VCT,-0.38633454605961504
184,Vietnam,VNM,0.6531882408951766
185,Vanuatu,VUT,0.05954960254119657
186,Samoa,WSM,-0.1216926945101664
187,"Yemen, Rep.",YEM,0.2730480688968959
188,South Africa,ZAF,6.216334771234759
189,Zambia,ZMB,-0.42966898535551906
190,Zimbabwe,ZWE,0.3797385567444353
191,Andorra,AND,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,American Samoa,ASM,
236,Bermuda,BMU,
237,Channel Islands,CHI,
238,Cuba,CUB,
239,Curacao,CUW,
240,Djibouti,DJI,
241,Eritrea,ERI,
242,Faroe Islands,FRO,
243,Gibraltar,GIB,
244,Greenland,GRL,
245,Guam,GUM,
246,Isle of Man,IMN,
247,Liechtenstein,LIE,
248,St. Martin (French part),MAF,
249,Monaco,MCO,
250,Northern Mariana Islands,MNP,
251,New Caledonia,NCL,
252,Puerto Rico,PRI,
253,"Korea, Dem. People’s Rep.",PRK,
254,West Bank and Gaza,PSE,
255,French Polynesia,PYF,
256,San Marino,SMR,
257,Somalia,SOM,
258,Syrian Arab Republic,SYR,
259,Turks and Caicos Islands,TCA,
260,"Venezuela, RB",VEN,
261,British Virgin Islands,VGB,
262,Virgin Islands (U.S.),VIR,
263,Kosovo,XKX,
