country,country_code,renewable_freshwater_per_capita_resid
France,FRA,-1678.9225694608795
Gabon,GAB,82860.55966945551
United Kingdom,GBR,-2483.7167227640407
Georgia,GEO,11635.989927960278
Ghana,GHA,-2673.8510740947804
Guinea,GIN,15413.274034434842
"Gambia, The",GMB,-2160.7443028128428
Guinea-Bissau,GNB,5549.4543158330725
Equatorial Guinea,GNQ,18682.267718303752
Greece,GRC,1025.1082475113453
Grenada,GRD,-2208.3312164153535
Guatemala,GTM,2928.525611605123
Guyana,GUY,311773.2722521918
High income,HIC,3977.1792360507097
Honduras,HND,6474.662247182502
Heavily indebted poor countries (HIPC),HPC,2046.1237496749604
Croatia,HRV,4394.271975848034
Haiti,HTI,-2496.835573240698
Hungary,HUN,-3699.7141906083943
IBRD only,IBD,1847.2878518272378
IDA & IBRD total,IBT,1568.0226796831703
IDA total,IDA,774.1881350550439
IDA blend,IDB,-488.8090616723134
Indonesia,IDN,3963.571561371067
IDA only,IDX,1399.353356700074
India,IND,-2757.214544901301
Ireland,IRL,5981.105050970505
"Iran, Islamic Rep.",IRN,-2904.194129055124
Iraq,IRQ,-3345.105194930133
Iceland,ISL,514447.01428654505
Israel,ISR,-4417.594429728101
Italy,ITA,-1535.079439010079
Jamaica,JAM,-169.0758604997677
Jordan,JOR,-3878.363969179508
Japan,JPN,-1321.984612399257
Kazakhstan,KAZ,-625.6242377884573
Kenya,KEN,-3313.028448298144
Kyrgyz Republic,KGZ,4608.537200483721
Cambodia,KHM,4119.217196831207
St. Kitts and Nevis,KNA,-3853.023292962545
"Korea, Rep.",KOR,-3205.417975521604
Kuwait,KWT,-4348.220725103456
Latin America & Caribbean (excluding high income),LAC,18453.03288686974
Lao PDR,LAO,25077.285590510255
Lebanon,LBN,-3290.9205618966744
Liberia,LBR,41834.403629044384
Libya,LBY,-4251.54802759117
St. Lucia,LCA,-2319.528357293966
Latin America & Caribbean,LCN,17925.128812854837
Least developed countries: UN classification,LDC,1195.8546496444433
Low income,LIC,637.6154519784345
Sri Lanka,LKA,-1425.9814494928478
Lower middle income,LMC,-837.6131148964269
Low & middle income,LMY,1399.4466714118034
Lesotho,LSO,-1321.5278335714565
Late-demographic dividend,LTE,3792.8894806269327
Lithuania,LTU,944.5193102169769
Luxembourg,LUX,-930.7338757229561
Latvia,LVA,4138.341284457714
Morocco,MAR,-3084.3283173385908
Moldova,MDA,-3378.453894719704
Madagascar,MDG,10565.737650126732
Maldives,MDV,-4143.850159856046
Middle East & North Africa,MEA,-4080.7655555022125
Mexico,MEX,-1221.7037888202376
Middle income,MIC,1534.3657847129812
"Macedonia, FYR",MKD,-1514.826913955496
Mali,MLI,-197.7008138295232
Malta,MLT,-4384.369486277853
Myanmar,MMR,15470.057728407512
Middle East & North Africa (excluding high income),MNA,-3367.174010958779
Mongolia,MNG,7917.123809688142
Mozambique,MOZ,-27.71037954001349
Mauritania,MRT,-3690.9437745650293
Mauritius,MUS,-2510.843186712518
Malawi,MWI,-2767.221407683283
Malaysia,MYS,14887.263821237673
North America,NAC,11127.342491976873
Namibia,NAM,-1354.5437149110871
Niger,NER,-3525.6532184316497
Nigeria,NGA,-2619.5361933907884
Nicaragua,NIC,22130.242141586725
Netherlands,NLD,-4201.730485355313
Norway,NOR,69607.46888996015
Nepal,NPL,3251.3830113201498
New Zealand,NZL,67927.24991960826
OECD members,OED,3519.206471315786
Oman,OMN,-4393.641476770715
Other small states,OSS,13863.001180745567
Pakistan,PAK,-3535.4821894425186
Panama,PAN,30414.123026818263
Peru,PER,48974.22517032817
Philippines,PHL,869.1400991687115
Papua New Guinea,PNG,99480.07026886396
Poland,POL,-2890.8336772797447
Pre-demographic dividend,PRE,533.0428789413222
Puerto Rico,PRI,-2564.7211448558737
Portugal,PRT,-689.6571595957553
Paraguay,PRY,13884.861307910594
West Bank and Gaza,PSE,-3643.5529746070083
Pacific island small states,PSS,44541.167355874786
Post-demographic dividend,PST,3426.4572775300758
Qatar,QAT,-1411.1084212105684
Romania,ROU,-2491.180836256902
Russian Federation,RUS,25624.87760000895
Rwanda,RWA,-2892.3320604017053
South Asia,SAS,-2706.595010228797
Saudi Arabia,SAU,-4795.955103934999
Sudan,SDN,-3714.030649799939
Senegal,SEN,-1991.9549629751136
Singapore,SGP,-3405.315904304336
Solomon Islands,SLB,73929.5613917569
Sierra Leone,SLE,18883.07208814728
El Salvador,SLV,-1432.3535409963984
Serbia,SRB,-2951.9432640563423
Sub-Saharan Africa (excluding high income),SSA,197.0790021669527
South Sudan,SSD,-1478.8052717219448
Sub-Saharan Africa,SSF,197.0070459893641
Small states,SST,21576.290856032934
Sao Tome and Principe,STP,7631.265254903089
Suriname,SUR,176341.69192953207
Slovak Republic,SVK,-2017.5780046976238
Slovenia,SVN,4675.261876607047
Sweden,SWE,12810.190439280244
Eswatini,SWZ,-1903.5253020303833
Chad,TCD,-2633.6638081899046
East Asia & Pacific (IDA & IBRD countries),TEA,314.3049139970458
Europe & Central Asia (IDA & IBRD countries),TEC,6758.175156471355
Togo,TGO,-2131.1344283988096
Thailand,THA,-1129.1699955650151
Tajikistan,TJK,3831.9174266650325
Turkmenistan,TKM,-4123.8974363648185
Latin America & the Caribbean (IDA & IBRD countries),TLA,18432.737732044057
Timor-Leste,TLS,2841.157004496547
Middle East & North Africa (IDA & IBRD countries),TMN,-3367.0778095454257
South Asia (IDA & IBRD),TSA,-2706.595010228797
Sub-Saharan Africa (IDA & IBRD countries),TSS,197.0070459893641
Trinidad and Tobago,TTO,-1593.694008005029
Tunisia,TUN,-3580.0548361637725
Turkey,TUR,-1405.8878744503595
Tanzania,TZA,-2143.684895956623
Uganda,UGA,-2723.500028938531
Ukraine,UKR,-2717.1454755811546
Upper middle income,UMC,3856.2332531543425
Uruguay,URY,22302.336073691666
United States,USA,3975.090781901041
Uzbekistan,UZB,-3341.3160948016575
St. Vincent and the Grenadines,VCT,-3035.68149283857
Vietnam,VNM,16.76152252558768
Vanuatu,VUT,34870.57110398036
World,WLD,1567.0538385159298
"Yemen, Rep.",YEM,-3690.2546711775494
South Africa,ZAF,-3233.598759507352
Zambia,ZMB,1343.8112565448123
Zimbabwe,ZWE,-2947.3940222969295
