,country,country_code,fertility_rate_resid
58,Algeria,DZA,0.6477570624666567
59,East Asia & Pacific (excluding high income),EAP,-0.4583227534986656
60,Early-demographic dividend,EAR,-0.3185456648945526
61,East Asia & Pacific,EAS,-0.32206806359613416
62,Europe & Central Asia (excluding high income),ECA,-0.06365875338889326
63,Europe & Central Asia,ECS,-0.04450872876291223
64,Ecuador,ECU,0.06395740623131152
65,"Egypt, Arab Rep.",EGY,0.7723534994516927
66,Euro area,EMU,-0.18164325211025178
68,Spain,ESP,-0.43985242455927454
69,Estonia,EST,-0.2330476140888873
70,Ethiopia,ETH,-0.2874316851227423
71,European Union,EUU,-0.1751915381533058
72,Fragile and conflict affected situations,FCS,0.547500981066424
73,Finland,FIN,-0.07835068706318848
74,Fiji,FJI,-0.2860798861877534
75,France,FRA,0.22596593230609963
77,"Micronesia, Fed. Sts.",FSM,-0.9441000841042664
78,Gabon,GAB,1.7876279736745482
79,United Kingdom,GBR,0.07004718952054034
80,Georgia,GEO,-0.6966928702291031
81,Ghana,GHA,0.04824442115758698
83,Guinea,GIN,0.3909746779829426
84,"Gambia, The",GMB,0.8916217673755717
85,Guinea-Bissau,GNB,0.08187565766646543
86,Equatorial Guinea,GNQ,2.965595009424212
87,Greece,GRC,-0.4985367319365701
88,Grenada,GRD,-0.1290227512479163
90,Guatemala,GTM,-0.09573572579500578
92,Guyana,GUY,-0.6437208509166803
93,High income,HIC,-0.028393721428441765
94,"Hong Kong SAR, China",HKG,-0.5130481306368326
95,Honduras,HND,-1.3587870042329295
96,Heavily indebted poor countries (HIPC),HPC,0.48224570658516974
97,Croatia,HRV,-0.4921833320761049
98,Haiti,HTI,-1.599188908827617
99,Hungary,HUN,-0.38566379514677473
100,IBRD only,IBD,-0.2606966448425445
101,IDA & IBRD total,IBT,-0.042262813963197754
102,IDA total,IDA,0.014987958803689416
103,IDA blend,IDB,0.5114898205195049
104,Indonesia,IDN,-0.11210421271434079
105,IDA only,IDX,-0.2399075409884377
107,India,IND,-1.1511113507418145
109,Ireland,IRL,0.2578760072005801
110,"Iran, Islamic Rep.",IRN,-0.38929342028157476
111,Iraq,IRQ,2.280312106941437
112,Iceland,ISL,0.07844866323422828
113,Israel,ISR,1.3271673100292267
114,Italy,ITA,-0.4079131030170029
115,Jamaica,JAM,-0.8979115042430093
116,Jordan,JOR,0.6214142130524452
117,Japan,JPN,-0.28334786004483736
118,Kazakhstan,KAZ,0.8771115478861138
119,Kenya,KEN,-0.33623542663633543
120,Kyrgyz Republic,KGZ,-0.9469611532913254
121,Cambodia,KHM,-1.5389217448755441
122,Kiribati,KIR,-0.7980302033799647
124,"Korea, Rep.",KOR,-0.5283225025899434
125,Kuwait,KWT,0.33912635785188705
126,Latin America & Caribbean (excluding high income),LAC,-0.1227296005737073
127,Lao PDR,LAO,-0.7455104815144677
128,Lebanon,LBN,-0.4991097618176641
129,Liberia,LBR,-0.040690436497135885
130,Libya,LBY,0.16948426173443165
131,St. Lucia,LCA,-0.8520389911033108
132,Latin America & Caribbean,LCN,-0.07593208978171839
133,Least developed countries: UN classification,LDC,-0.18851885675429259
134,Low income,LIC,0.20518772998774892
136,Sri Lanka,LKA,-0.34857235444548706
137,Lower middle income,LMC,-0.6350711478199349
138,Low & middle income,LMY,-0.07073158729917184
139,Lesotho,LSO,-1.1424879659346532
140,Late-demographic dividend,LTE,-0.4337254513988511
141,Lithuania,LTU,-0.11187085654905515
142,Luxembourg,LUX,-0.1517400446755217
143,Latvia,LVA,-0.1581424812960217
144,"Macao SAR, China",MAC,-0.33486042006459793
146,Morocco,MAR,-0.5976975621609473
148,Moldova,MDA,-2.5087445815527376
149,Madagascar,MDG,-0.40611521749545076
150,Maldives,MDV,-0.05604302199186151
151,Middle East & North Africa,MEA,0.7798027647690624
152,Mexico,MEX,0.12841685437808925
154,Middle income,MIC,-0.17598934171596659
155,"Macedonia, FYR",MKD,-0.7154986578740221
156,Mali,MLI,1.6456748744324532
157,Malta,MLT,-0.3142804440463023
158,Myanmar,MMR,-1.448292475989946
159,Middle East & North Africa (excluding high income),MNA,0.5042074326199555
160,Montenegro,MNE,-0.4432341520491365
161,Mongolia,MNG,0.418429319812855
163,Mozambique,MOZ,0.5867177311548195
164,Mauritania,MRT,0.6844758374453175
165,Mauritius,MUS,-0.6216772370907315
166,Malawi,MWI,-0.08041816368550148
167,Malaysia,MYS,0.22696110754942245
168,North America,NAC,0.10635825904151597
169,Namibia,NAM,0.9177064451518082
171,Niger,NER,2.5137306420221295
172,Nigeria,NGA,2.069942812905262
173,Nicaragua,NIC,-1.4725182882749381
174,Netherlands,NLD,-0.06086979648348323
175,Norway,NOR,0.027384113832387147
176,Nepal,NPL,-2.2306701457279576
178,New Zealand,NZL,0.24014958268633557
179,OECD members,OED,0.011402380700425319
180,Oman,OMN,1.0097704577229512
181,Other small states,OSS,1.2841230072144816
182,Pakistan,PAK,-0.21972286529753315
183,Panama,PAN,0.6262527344012281
184,Peru,PER,0.08997734446646266
185,Philippines,PHL,-0.2693667435380642
186,Palau,PLW,0.0409600586851413
187,Papua New Guinea,PNG,-0.28644512797040056
188,Poland,POL,-0.5095874289100482
189,Pre-demographic dividend,PRE,1.1787711749007066
190,Puerto Rico,PRI,-0.4150516377739335
192,Portugal,PRT,-0.49819804789380484
193,Paraguay,PRY,0.1041152819082396
194,West Bank and Gaza,PSE,0.30980094088357557
195,Pacific island small states,PSS,-0.3798473835120948
196,Post-demographic dividend,PST,-0.09053418447822081
198,Qatar,QAT,0.3518764567028858
199,Romania,ROU,-0.35048047966449647
200,Russian Federation,RUS,-0.1079380207380436
201,Rwanda,RWA,-0.5824426979386774
202,South Asia,SAS,-1.1174530088599726
203,Saudi Arabia,SAU,0.8644932842310307
204,Sudan,SDN,0.7217473212397008
205,Senegal,SEN,0.6096127231717006
206,Singapore,SGP,-0.3967721823611665
207,Solomon Islands,SLB,-0.530121789816584
208,Sierra Leone,SLE,-0.10336791533216605
209,El Salvador,SLV,-1.0907906333349247
212,Serbia,SRB,-0.7680152140671974
213,Sub-Saharan Africa (excluding high income),SSA,0.8476005241487972
214,South Sudan,SSD,0.4267812947024048
215,Sub-Saharan Africa,SSF,0.847861292560995
216,Small states,SST,1.0152649318189786
217,Sao Tome and Principe,STP,0.29439175683813623
218,Suriname,SUR,0.2455010789991774
219,Slovak Republic,SVK,-0.40826248269651644
220,Slovenia,SVN,-0.2230216491540502
221,Sweden,SWE,0.12850920869733895
222,Eswatini,SWZ,0.13130273337630927
224,Seychelles,SYC,0.5793584616312648
227,Chad,TCD,1.5907031441428332
228,East Asia & Pacific (IDA & IBRD countries),TEA,-0.4490233702423283
229,Europe & Central Asia (IDA & IBRD countries),TEC,-0.09518268965128618
230,Togo,TGO,-0.11051373942238829
231,Thailand,THA,-0.62551097824009
232,Tajikistan,TJK,-0.9012457920529462
233,Turkmenistan,TKM,0.7956431633037715
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,-0.06869137656153823
235,Timor-Leste,TLS,2.5193154774755686
236,Middle East & North Africa (IDA & IBRD countries),TMN,0.4995040663089352
237,Tonga,TON,0.03318967250221183
238,South Asia (IDA & IBRD),TSA,-1.1174530088599726
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,0.847861292560995
240,Trinidad and Tobago,TTO,-0.01312246951593532
241,Tunisia,TUN,-0.22520780658479023
242,Turkey,TUR,0.2163328238430775
244,Tanzania,TZA,0.7337375212087558
245,Uganda,UGA,1.1138240771421097
246,Ukraine,UKR,-1.5763462985651133
247,Upper middle income,UMC,-0.30146584774513063
248,Uruguay,URY,0.06034049347162984
249,United States,USA,0.13367515310092504
250,Uzbekistan,UZB,-1.0261489297301205
251,St. Vincent and the Grenadines,VCT,-0.5393805657563389
255,Vietnam,VNM,-1.5953813249011197
256,Vanuatu,VUT,-0.9489731355122157
257,World,WLD,0.3059880134883213
258,Samoa,WSM,0.4768379414836543
259,Kosovo,XKX,-0.5881885079217408
260,"Yemen, Rep.",YEM,-0.08970686420091045
261,South Africa,ZAF,0.195856387858238
262,Zambia,ZMB,0.9961527329662756
263,Zimbabwe,ZWE,-0.5882729551144643
