,country,country_code,biodiversity_protected_areas_resid
124,Nigeria,NGA,2.7129888415201346
125,Nicaragua,NIC,6.367383887991686
126,Netherlands,NLD,6.242334308452174
127,Norway,NOR,-6.369478726437128
128,Nepal,NPL,13.673277646860242
129,New Zealand,NZL,18.956132576803796
130,Oman,OMN,-10.763236548597595
131,Pakistan,PAK,0.6039982456236768
132,Panama,PAN,-3.752361762933095
133,Peru,PER,5.108114182802181
134,Philippines,PHL,-5.4191803843135435
135,Palau,PLW,74.67792745631161
136,Papua New Guinea,PNG,-8.800992685569152
137,Poland,POL,28.675063962989817
138,Puerto Rico,PRI,-9.465451838172555
139,Portugal,PRT,-0.8282059844095464
140,Paraguay,PRY,-1.4743764038609521
141,Pacific island small states,PSS,-7.892758838134806
142,Qatar,QAT,-6.617658908174601
143,Romania,ROU,13.60953404898458
144,Russian Federation,RUS,-1.5394053031083885
145,Rwanda,RWA,-1.0401295813953588
146,South Asia,SAS,-4.022097976824609
147,Saudi Arabia,SAU,-7.383552116058662
148,Sudan,SDN,-6.561100958289552
149,Senegal,SEN,4.741013349555976
150,Singapore,SGP,-7.9219807896277175
151,Solomon Islands,SLB,-9.854368091289846
152,Sierra Leone,SLE,-7.010085388174696
153,El Salvador,SLV,-6.368731926313455
154,Serbia,SRB,-1.971327312655153
155,South Sudan,SSD,5.396187604247583
156,Sub-Saharan Africa,SSF,5.543517877274107
157,Sao Tome and Principe,STP,-9.496366720519848
158,Suriname,SUR,0.16481963751028061
159,Slovak Republic,SVK,27.35912605014051
160,Slovenia,SVN,44.722456911058536
161,Sweden,SWE,1.159763083925391
162,Eswatini,SWZ,-4.230158748189218
163,Sint Maarten (Dutch part),SXM,-6.01384090131994
164,Seychelles,SYC,-9.300044151359907
165,Chad,TCD,10.316276859052143
166,Togo,TGO,11.533066368918634
167,Thailand,THA,4.10572507540963
168,Tajikistan,TJK,12.436250391367698
169,Turkmenistan,TKM,-5.153440250214217
170,Timor-Leste,TLS,-3.9973163865727557
171,Tonga,TON,-7.521418363286787
172,Trinidad and Tobago,TTO,-8.788525836776659
173,Tunisia,TUN,-2.7543661247060687
174,Turkey,TUR,-8.970530615025067
175,Tuvalu,TUV,-9.578922683998975
176,Tanzania,TZA,20.950741791492465
177,Uganda,UGA,5.884213317056108
178,Ukraine,UKR,-4.53897315703088
179,Uruguay,URY,-6.630447898849866
180,United States,USA,15.016935866286737
181,Uzbekistan,UZB,-5.518119691772776
182,St. Vincent and the Grenadines,VCT,-7.483352008021724
183,Vietnam,VNM,-6.006129241232474
184,Vanuatu,VUT,-9.696217214744772
185,Samoa,WSM,-8.705596869856095
186,"Yemen, Rep.",YEM,-9.09772379179932
187,South Africa,ZAF,4.944410171681525
188,Zambia,ZMB,28.527774091325803
189,Zimbabwe,ZWE,17.221363564730574
190,Andorra,AND,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,American Samoa,ASM,
235,Bermuda,BMU,
236,Channel Islands,CHI,
237,Cuba,CUB,
238,Curacao,CUW,
239,Djibouti,DJI,
240,Eritrea,ERI,
241,Faroe Islands,FRO,
242,Gibraltar,GIB,
243,Greenland,GRL,
244,Guam,GUM,
245,Isle of Man,IMN,
246,Liechtenstein,LIE,
247,"Macao SAR, China",MAC,
248,St. Martin (French part),MAF,
249,Monaco,MCO,
250,Northern Mariana Islands,MNP,
251,New Caledonia,NCL,
252,Nauru,NRU,
253,"Korea, Dem. People’s Rep.",PRK,
254,West Bank and Gaza,PSE,
255,French Polynesia,PYF,
256,San Marino,SMR,
257,Somalia,SOM,
258,Syrian Arab Republic,SYR,
259,Turks and Caicos Islands,TCA,
260,"Venezuela, RB",VEN,
261,British Virgin Islands,VGB,
262,Virgin Islands (U.S.),VIR,
263,Kosovo,XKX,
