,country,country_code,female_employment_pct_of_total_resid
48,Spain,ESP,0.8969978667691336
49,Estonia,EST,4.250056161381181
50,Ethiopia,ETH,0.46005592480640445
51,Finland,FIN,2.5236334924005988
52,Fiji,FJI,-7.782808168199956
53,France,FRA,1.182817864417764
54,Gabon,GAB,-3.2061400888218614
55,United Kingdom,GBR,0.7141164039290899
56,Georgia,GEO,3.970731835111664
57,Ghana,GHA,4.499314836403407
58,Guinea,GIN,2.4297262242684923
59,"Gambia, The",GMB,-2.4859979687487694
60,Guinea-Bissau,GNB,0.3218316566079693
61,Equatorial Guinea,GNQ,-4.8370878079591435
62,Greece,GRC,-0.45493641547499664
63,Guatemala,GTM,-9.99892055627582
64,Guyana,GUY,-8.108739023437977
65,"Hong Kong SAR, China",HKG,2.7757452628684405
66,Honduras,HND,-7.209664038304396
67,Croatia,HRV,2.580407805659931
68,Haiti,HTI,1.3297036625771383
69,Hungary,HUN,1.5946950058351206
70,Indonesia,IDN,-5.163712327409478
71,India,IND,-19.36435571051253
72,Ireland,IRL,-1.576187904566865
73,"Iran, Islamic Rep.",IRN,-25.474458859819396
74,Iraq,IRQ,-23.02440816133382
75,Iceland,ISL,1.5009489959596962
76,Israel,ISR,1.7289870885303316
77,Italy,ITA,-3.588763695855775
78,Jamaica,JAM,0.4228760428350924
79,Jordan,JOR,-24.849606910255076
80,Japan,JPN,-2.866885142020486
81,Kazakhstan,KAZ,4.468757501976036
82,Kenya,KEN,2.54974693998647
83,Kyrgyz Republic,KGZ,-4.675932252917072
84,Cambodia,KHM,4.486883499230508
85,"Korea, Rep.",KOR,-3.4310543005579603
86,Kuwait,KWT,-17.62463442422319
87,Lao PDR,LAO,5.969579326028196
88,Lebanon,LBN,-18.346341401258066
89,Liberia,LBR,1.4541037951348699
90,Libya,LBY,-18.298407358011712
91,St. Lucia,LCA,3.397948521435225
92,Sri Lanka,LKA,-8.26502665679866
93,Lesotho,LSO,1.0126949343014715
94,Lithuania,LTU,5.977487845110211
95,Luxembourg,LUX,-1.3178219235209951
96,Latvia,LVA,5.520022227696046
97,"Macao SAR, China",MAC,2.383568116392908
98,Morocco,MAR,-16.90050092496399
99,Moldova,MDA,4.708744277776795
100,Madagascar,MDG,1.9537574269089362
101,Maldives,MDV,-14.504125662381238
102,Mexico,MEX,-6.777874679976989
103,"Macedonia, FYR",MKD,-3.063882192003021
104,Mali,MLI,-3.414322800526179
105,Malta,MLT,-6.779864136808058
106,Myanmar,MMR,-3.5228630387272872
107,Montenegro,MNE,1.6214328297486986
108,Mongolia,MNG,2.995790449449757
109,Mozambique,MOZ,7.977371589712924
110,Mauritania,MRT,-14.012836792790818
111,Mauritius,MUS,-4.3495083495681115
112,Malawi,MWI,1.0179293204816915
113,Malaysia,MYS,-6.507049532045436
114,Namibia,NAM,7.303810304751828
115,Niger,NER,-3.687875286935146
116,Nigeria,NGA,1.4979551439432583
117,Nicaragua,NIC,-5.828999211383355
118,Netherlands,NLD,-0.03776874793773999
119,Norway,NOR,1.1481097388543375
120,Nepal,NPL,5.532601050229047
121,New Zealand,NZL,1.7966733651172504
122,Oman,OMN,-32.14844985550114
123,Pakistan,PAK,-22.528797183397426
124,Panama,PAN,-4.775224192918941
125,Peru,PER,2.784152396002554
126,Philippines,PHL,-3.5334473027797415
127,Papua New Guinea,PNG,3.7929343969479845
128,Poland,POL,0.899943048402001
129,Puerto Rico,PRI,-3.325482248899476
130,Portugal,PRT,4.284732970719183
131,Paraguay,PRY,-2.6575808495459796
132,West Bank and Gaza,PSE,-23.758925931256293
133,Pacific island small states,PSS,-5.2566076123529655
134,Qatar,QAT,-32.741383260079246
135,Romania,ROU,-0.5316303950691861
136,Russian Federation,RUS,4.534313500181412
137,Rwanda,RWA,4.903017328703818
138,South Asia,SAS,-18.805944239686976
139,Saudi Arabia,SAU,-29.65397817303731
140,Sudan,SDN,-19.176889748755176
141,Senegal,SEN,-4.528342739167876
142,Singapore,SGP,-1.3654898104933721
143,Solomon Islands,SLB,-2.8135982542108025
144,Sierra Leone,SLE,3.135670168660404
145,El Salvador,SLV,-1.2905655183862947
146,Serbia,SRB,1.2168269840707993
147,South Sudan,SSD,2.6816745981648467
148,Sub-Saharan Africa,SSF,1.3124026390106565
149,Sao Tome and Principe,STP,-9.843516363965385
150,Suriname,SUR,-3.0763742784455914
151,Slovak Republic,SVK,0.6924469245236722
152,Slovenia,SVN,1.2037107779092864
153,Sweden,SWE,1.685867294307485
154,Eswatini,SWZ,-1.5397883316812369
155,Chad,TCD,-0.5591402805221435
156,Togo,TGO,2.5132885076914278
157,Thailand,THA,2.7890116414838744
158,Tajikistan,TJK,-7.049364622294753
159,Turkmenistan,TKM,-0.8317361462736486
160,Timor-Leste,TLS,-11.195928112706849
161,Tonga,TON,-5.677653036243321
162,Trinidad and Tobago,TTO,-3.0004124942114245
163,Tunisia,TUN,-15.579905183751585
164,Turkey,TUR,-12.327098674137858
165,Tanzania,TZA,2.909866049563206
166,Uganda,UGA,1.2146266110539443
167,Ukraine,UKR,4.558844698963334
168,Uruguay,URY,1.2410985417538285
169,United States,USA,-0.14997836013633048
170,Uzbekistan,UZB,-2.211687345079369
171,St. Vincent and the Grenadines,VCT,-0.6863593699560084
172,Vietnam,VNM,3.996352063389324
173,Vanuatu,VUT,-1.9917392551631679
174,Samoa,WSM,-7.724643709122802
175,"Yemen, Rep.",YEM,-37.4801547385358
176,South Africa,ZAF,2.5588043196083134
177,Zambia,ZMB,2.4709245086740523
178,Zimbabwe,ZWE,2.9657394184859527
179,Aruba,ABW,
180,Andorra,AND,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,American Samoa,ASM,
225,Antigua and Barbuda,ATG,
226,Bermuda,BMU,
227,Channel Islands,CHI,
228,Cuba,CUB,
229,Curacao,CUW,
230,Cayman Islands,CYM,
231,Djibouti,DJI,
232,Dominica,DMA,
233,Eritrea,ERI,
234,Faroe Islands,FRO,
235,"Micronesia, Fed. Sts.",FSM,
236,Gibraltar,GIB,
237,Grenada,GRD,
238,Greenland,GRL,
239,Guam,GUM,
240,Isle of Man,IMN,
241,Kiribati,KIR,
242,St. Kitts and Nevis,KNA,
243,Liechtenstein,LIE,
244,St. Martin (French part),MAF,
245,Monaco,MCO,
246,Marshall Islands,MHL,
247,Northern Mariana Islands,MNP,
248,New Caledonia,NCL,
249,Nauru,NRU,
250,Palau,PLW,
251,"Korea, Dem. People’s Rep.",PRK,
252,French Polynesia,PYF,
253,San Marino,SMR,
254,Somalia,SOM,
255,Sint Maarten (Dutch part),SXM,
256,Seychelles,SYC,
257,Syrian Arab Republic,SYR,
258,Turks and Caicos Islands,TCA,
259,Tuvalu,TUV,
260,"Venezuela, RB",VEN,
261,British Virgin Islands,VGB,
262,Virgin Islands (U.S.),VIR,
263,Kosovo,XKX,
