,country,country_code,days_required_to_start_business_resid
160,Chad,TCD,43.13637466776154
161,Togo,TGO,-6.710038671915058
162,Thailand,THA,12.265759703579032
163,Tajikistan,TJK,-6.002619324743776
164,Timor-Leste,TLS,-4.142261769539488
165,Tonga,TON,-1.6009230613029395
166,Trinidad and Tobago,TTO,-0.23445664979950465
167,Tunisia,TUN,-6.849092083808273
168,Turkey,TUR,-3.6041706370023174
169,Tanzania,TZA,12.033385388709917
170,Uganda,UGA,10.235515460382203
171,Ukraine,UKR,-10.159329386163655
172,Uruguay,URY,-9.298521856770654
173,United States,USA,-3.6399119071734507
174,Uzbekistan,UZB,-12.22161294191094
175,St. Vincent and the Grenadines,VCT,-8.821416474569471
176,Vietnam,VNM,2.3129524846886795
177,Vanuatu,VUT,17.957596519761847
178,Samoa,WSM,-8.688206402888806
179,Kosovo,XKX,-8.590157301192427
180,"Yemen, Rep.",YEM,23.397211415644527
181,South Africa,ZAF,27.42081704388949
182,Zambia,ZMB,-8.736342069587977
183,Zimbabwe,ZWE,74.10466643027435
184,Aruba,ABW,
185,Andorra,AND,
186,American Samoa,ASM,
187,Bermuda,BMU,
188,Channel Islands,CHI,
189,Cuba,CUB,
190,Curacao,CUW,
191,Cayman Islands,CYM,
192,Djibouti,DJI,
193,Eritrea,ERI,
194,Faroe Islands,FRO,
195,Gibraltar,GIB,
196,Greenland,GRL,
197,Guam,GUM,
198,Isle of Man,IMN,
199,Liechtenstein,LIE,
200,"Macao SAR, China",MAC,
201,St. Martin (French part),MAF,
202,Monaco,MCO,
203,Northern Mariana Islands,MNP,
204,New Caledonia,NCL,
205,Nauru,NRU,
206,"Korea, Dem. People’s Rep.",PRK,
207,French Polynesia,PYF,
208,Somalia,SOM,
209,Sint Maarten (Dutch part),SXM,
210,Syrian Arab Republic,SYR,
211,Turks and Caicos Islands,TCA,
212,Turkmenistan,TKM,
213,Tuvalu,TUV,
214,"Venezuela, RB",VEN,
215,British Virgin Islands,VGB,
216,Virgin Islands (U.S.),VIR,
