,country,country_code,strength_legal_rights_0_12_resid
180,Vietnam,VNM,1.9746181546026929
181,Vanuatu,VUT,4.728967654243167
182,Samoa,WSM,-0.024953107425726984
183,Kosovo,XKX,4.322240310899218
184,"Yemen, Rep.",YEM,-5.247726247827398
185,South Africa,ZAF,0.39665160522483767
186,Zambia,ZMB,1.8038258775320841
187,Zimbabwe,ZWE,-0.32751199803959175
188,Aruba,ABW,
189,Andorra,AND,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,American Samoa,ASM,
234,Bermuda,BMU,
235,Channel Islands,CHI,
236,Cuba,CUB,
237,Curacao,CUW,
238,Cayman Islands,CYM,
239,Djibouti,DJI,
240,Eritrea,ERI,
241,Faroe Islands,FRO,
242,Gibraltar,GIB,
243,Greenland,GRL,
244,Guam,GUM,
245,Isle of Man,IMN,
246,Liechtenstein,LIE,
247,"Macao SAR, China",MAC,
248,St. Martin (French part),MAF,
249,Monaco,MCO,
250,Northern Mariana Islands,MNP,
251,New Caledonia,NCL,
252,Nauru,NRU,
253,"Korea, Dem. People’s Rep.",PRK,
254,French Polynesia,PYF,
255,Somalia,SOM,
256,Sint Maarten (Dutch part),SXM,
257,Syrian Arab Republic,SYR,
258,Turks and Caicos Islands,TCA,
259,Turkmenistan,TKM,
260,Tuvalu,TUV,
261,"Venezuela, RB",VEN,
262,British Virgin Islands,VGB,
263,Virgin Islands (U.S.),VIR,
