,country,country_code,fdi_net_current_usd_resid
57,France,FRA,31738828877.654503
58,"Micronesia, Fed. Sts.",FSM,-710866556.522195
59,Gabon,GAB,-940669525.0308958
60,United Kingdom,GBR,33760423058.060246
61,Georgia,GEO,624262457.7382553
62,Ghana,GHA,2447407356.702327
63,Guinea,GIN,-561194042.7916689
64,"Gambia, The",GMB,-602866348.1934812
65,Guinea-Bissau,GNB,-574637977.862081
66,Equatorial Guinea,GNQ,-5567487294.06197
67,Greece,GRC,-3289571853.516123
68,Grenada,GRD,-1168623387.5935059
69,Guatemala,GTM,235417666.49650705
70,Guyana,GUY,-790491216.2687626
71,"Hong Kong SAR, China",HKG,151654759670.635
72,Honduras,HND,542714366.2233194
73,Croatia,HRV,-2850644987.37116
74,Haiti,HTI,-501533874.05756676
75,Hungary,HUN,-9837880608.555689
76,Indonesia,IDN,18649174205.372902
77,India,IND,43154271263.34696
78,Ireland,IRL,191339365423.36578
79,"Iran, Islamic Rep.",IRN,161809707.28110433
80,Iraq,IRQ,1698031437.171078
81,Iceland,ISL,-13653038203.146126
82,Israel,ISR,2542641539.020748
83,Italy,ITA,4160724769.323185
84,Jamaica,JAM,-59828763.059750915
85,Jordan,JOR,593954292.9335495
86,Japan,JPN,-5888216858.850347
87,Kazakhstan,KAZ,2555324761.1119175
88,Kenya,KEN,-64951602.773919225
89,Kyrgyz Republic,KGZ,434448536.61659014
90,Cambodia,KHM,1109934278.6861467
91,Kiribati,KIR,-626476155.6964824
92,St. Kitts and Nevis,KNA,-4720313765.873875
93,"Korea, Rep.",KOR,-4377592726.567296
94,Kuwait,KWT,-48666216603.63563
95,Lao PDR,LAO,222628276.76789844
96,Lebanon,LBN,778698696.0797198
97,Liberia,LBR,-344740627.99888515
98,Libya,LBY,-911209464.295399
99,St. Lucia,LCA,-1130108257.3869896
100,Sri Lanka,LKA,-496708013.1843704
101,Lesotho,LSO,-563808100.8816754
102,Lithuania,LTU,-4629704538.651117
103,Luxembourg,LUX,-70947820354.02583
104,Latvia,LVA,-2844056102.2721386
105,"Macao SAR, China",MAC,-86922341586.6819
106,Morocco,MAR,2312574828.9918556
107,Moldova,MDA,-582350858.917623
108,Madagascar,MDG,-260374916.77165347
109,Maldives,MDV,-1155666392.0955215
110,Mexico,MEX,34926229335.24651
111,Marshall Islands,MHL,-740889890.9022546
112,"Macedonia, FYR",MKD,-1049519526.2590983
113,Mali,MLI,-349954428.98612463
114,Malta,MLT,-5743137708.160751
115,Myanmar,MMR,3267767856.4144993
116,Montenegro,MNE,-1020903095.9116215
117,Mongolia,MNG,-1104880115.7241342
118,Mozambique,MOZ,3297940280.615828
119,Mauritania,MRT,-229950314.70245504
120,Mauritius,MUS,-2009504424.1198037
121,Malawi,MWI,-52250031.2157768
122,Malaysia,MYS,5327160587.000116
123,Namibia,NAM,68132394.37251163
124,Niger,NER,-26345054.456868887
125,Nigeria,NGA,2286109261.6146793
126,Nicaragua,NIC,139473215.63215148
127,Netherlands,NLD,163909947557.29407
128,Norway,NOR,-29186674207.10907
129,Nepal,NPL,-599421751.1392207
130,Nauru,NRU,-1274304054.6105886
131,New Zealand,NZL,-9791502736.42846
132,Oman,OMN,-14193489490.847591
133,Pakistan,PAK,825411278.092151
134,Panama,PAN,2394397003.344343
135,Peru,PER,7043926038.828867
136,Philippines,PHL,4722129713.826843
137,Palau,PLW,-1492843003.6195633
138,Papua New Guinea,PNG,-541510006.3657564
139,Poland,POL,10560310147.928402
140,Portugal,PRT,-3385928450.6620355
141,Paraguay,PRY,-700067228.3574721
142,West Bank and Gaza,PSE,-691666283.7075909
143,Pacific island small states,PSS,-386741020.80613405
144,Qatar,QAT,-109505228386.99252
145,Romania,ROU,1754744037.8827362
146,Russian Federation,RUS,3163957996.446334
147,Rwanda,RWA,-389538761.022125
148,South Asia,SAS,48835196763.1398
149,Saudi Arabia,SAU,-16318457290.181948
150,Sudan,SDN,956094213.0880553
151,Senegal,SEN,-281213448.0099073
152,Singapore,SGP,5819459802.307785
153,Solomon Islands,SLB,-608295710.4744925
154,Sierra Leone,SLE,-331645533.24021494
155,El Salvador,SLV,-430484883.58485204
156,Serbia,SRB,980816671.805723
157,South Sudan,SSD,-622188337.9032924
158,Sub-Saharan Africa,SSF,44906528128.5024
159,Sao Tome and Principe,STP,-663742565.4779743
160,Suriname,SUR,-1417393376.9892964
161,Slovak Republic,SVK,-4367843528.26523
162,Slovenia,SVN,-5054983666.20352
163,Sweden,SWE,-6387349480.421591
164,Eswatini,SWZ,-934373732.8153981
165,Sint Maarten (Dutch part),SXM,-8338444497.627434
166,Seychelles,SYC,-4357655106.514229
167,Chad,TCD,-75657543.88770854
168,Togo,TGO,-335610571.4975901
169,Thailand,THA,7221441978.656337
170,Tajikistan,TJK,-246175101.02981532
171,Turkmenistan,TKM,1382309503.3191984
172,Timor-Leste,TLS,-902963218.1276867
173,Tonga,TON,-811011115.5859605
174,Trinidad and Tobago,TTO,-7551896859.313534
175,Tunisia,TUN,-185285590.16277683
176,Turkey,TUR,14265176888.092232
177,Tuvalu,TUV,-720375170.3486813
178,Tanzania,TZA,941835484.9701587
179,Uganda,UGA,129438337.33064938
180,Ukraine,UKR,2100373954.7124052
181,Uruguay,URY,12462745.943324566
182,United States,USA,480668923697.3827
183,Uzbekistan,UZB,-785593687.0094292
184,St. Vincent and the Grenadines,VCT,-1077827084.8572934
185,Vietnam,VNM,10956013740.759394
186,Vanuatu,VUT,-651823656.2625729
187,Samoa,WSM,-817391143.3361095
188,Kosovo,XKX,-700052138.8673103
189,"Yemen, Rep.",YEM,-714134004.6958542
190,South Africa,ZAF,237998267.33817554
191,Zambia,ZMB,849455318.820228
192,Zimbabwe,ZWE,-244448207.52015758
193,Andorra,AND,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,American Samoa,ASM,
238,Bermuda,BMU,
239,Channel Islands,CHI,
240,Cuba,CUB,
241,Curacao,CUW,
242,Djibouti,DJI,
243,Eritrea,ERI,
244,Faroe Islands,FRO,
245,Gibraltar,GIB,
246,Greenland,GRL,
247,Guam,GUM,
248,Isle of Man,IMN,
249,Liechtenstein,LIE,
250,St. Martin (French part),MAF,
251,Monaco,MCO,
252,Northern Mariana Islands,MNP,
253,New Caledonia,NCL,
254,Puerto Rico,PRI,
255,"Korea, Dem. People’s Rep.",PRK,
256,French Polynesia,PYF,
257,San Marino,SMR,
258,Somalia,SOM,
259,Syrian Arab Republic,SYR,
260,Turks and Caicos Islands,TCA,
261,"Venezuela, RB",VEN,
262,British Virgin Islands,VGB,
263,Virgin Islands (U.S.),VIR,
