,country,country_code,mortality_under_5_per_1000_live_births_resid
74,Ireland,IRL,-0.7818428093056813
75,"Iran, Islamic Rep.",IRN,1.3911526035304451
76,Iraq,IRQ,15.965656968525877
77,Iceland,ISL,-2.828613341157779
78,Israel,ISR,-2.7006910084522877
79,Italy,ITA,-2.8466754840323194
80,Jamaica,JAM,-14.84556524163811
81,Jordan,JOR,-11.112475898865611
82,Japan,JPN,-2.614920962434014
83,Kazakhstan,KAZ,2.3462782413007357
84,Kenya,KEN,-6.9219417257151505
85,Kyrgyz Republic,KGZ,-31.383736134074024
86,Cambodia,KHM,-21.427307805796175
87,Kiribati,KIR,-2.1455794952410727
88,St. Kitts and Nevis,KNA,5.1963594861421765
89,"Korea, Rep.",KOR,-3.1476479892865834
90,Kuwait,KWT,4.353266623555827
91,Lao PDR,LAO,26.06917540133903
92,Lebanon,LBN,-9.684874640065852
93,Liberia,LBR,16.530725115212192
94,Libya,LBY,-2.918531581235385
95,St. Lucia,LCA,-2.8964032108112043
96,Sri Lanka,LKA,-12.395735913142094
97,Lesotho,LSO,37.59073420106906
98,Lithuania,LTU,-3.239779253754671
99,Luxembourg,LUX,-2.3607463246915215
100,Latvia,LVA,-4.823525080638698
101,Morocco,MAR,-9.362830730799807
102,Moldova,MDA,-30.518706546900596
103,Madagascar,MDG,-14.978550434071543
104,Maldives,MDV,-8.557917724476862
105,Mexico,MEX,-0.06548896416389738
106,Marshall Islands,MHL,-15.834049473696076
107,"Macedonia, FYR",MKD,-6.306271527586201
108,Mali,MLI,53.60381176365503
109,Malta,MLT,0.05263459058432751
110,Myanmar,MMR,7.330868294352136
111,Montenegro,MNE,-11.596940586175617
112,Mongolia,MNG,-2.411163345292344
113,Mozambique,MOZ,14.53004222610565
114,Mauritania,MRT,32.16137429401853
115,Mauritius,MUS,1.8369271894912735
116,Malawi,MWI,-2.5175922008717606
117,Malaysia,MYS,-1.3350522454161329
118,Namibia,NAM,22.575995134226105
119,Niger,NER,28.377805060859032
120,Nigeria,NGA,65.34358689212033
121,Nicaragua,NIC,-27.035530890798633
122,Netherlands,NLD,-1.0777157719072026
123,Norway,NOR,-2.022814012121481
124,Nepal,NPL,-21.55880765593521
125,Nauru,NRU,15.328621003061432
126,New Zealand,NZL,-0.4858789812479438
127,Oman,OMN,5.778927451169996
128,Pakistan,PAK,32.74176233261529
129,Panama,PAN,5.9955452695626015
130,Peru,PER,-4.319633159686166
131,Philippines,PHL,-7.595368971432322
132,Palau,PLW,-0.5833549308093886
133,Papua New Guinea,PNG,6.225713943467909
134,Poland,POL,-4.068131220239822
135,Portugal,PRT,-4.384363140775032
136,Paraguay,PRY,0.6230818937872833
137,West Bank and Gaza,PSE,-24.774753989027907
138,Qatar,QAT,2.7880147519906338
139,Romania,ROU,-2.3509186891068783
140,Russian Federation,RUS,-1.2170293374904428
141,Rwanda,RWA,-19.005986135559517
142,Saudi Arabia,SAU,3.4340024289480144
143,Sudan,SDN,18.433899059001135
144,Senegal,SEN,-5.405642667972877
145,Singapore,SGP,-2.1073259297038023
146,Solomon Islands,SLB,-37.06651994719995
147,Sierra Leone,SLE,59.10837665477518
148,El Salvador,SLV,-20.532376724247726
149,San Marino,SMR,-2.2771513343783285
150,Serbia,SRB,-11.972834415751294
151,South Sudan,SSD,36.08787893451673
152,Sao Tome and Principe,STP,-19.982087456751202
153,Suriname,SUR,4.473042744480217
154,Slovak Republic,SVK,-2.0869097003199073
155,Slovenia,SVN,-5.18978528463875
156,Sweden,SWE,-2.217361293084448
157,Eswatini,SWZ,25.16205360151472
158,Seychelles,SYC,5.465088363778259
159,Chad,TCD,71.43068838587315
160,Togo,TGO,15.277150126660096
161,Thailand,THA,-5.392146426885827
162,Tajikistan,TJK,-20.768887272145633
163,Turkmenistan,TKM,34.46856215218244
164,Timor-Leste,TLS,16.903605127040343
165,Tonga,TON,-27.749673764708138
166,Trinidad and Tobago,TTO,20.663888686998053
167,Tunisia,TUN,-8.59884560246471
168,Turkey,TUR,3.6314573851363345
169,Tuvalu,TUV,-26.211791993672406
170,Tanzania,TZA,1.0031089236803297
171,Uganda,UGA,-6.045994991271918
172,Ukraine,UKR,-24.591741232222
173,Uruguay,URY,-2.9701063835056214
174,United States,USA,1.9076068388657879
175,Uzbekistan,UZB,-16.483901809374615
176,St. Vincent and the Grenadines,VCT,-5.997736327104597
177,Vietnam,VNM,-21.15593876863842
178,Vanuatu,VUT,-27.562880133042203
179,Samoa,WSM,-25.43333117867866
180,"Yemen, Rep.",YEM,0.8631252974022559
181,South Africa,ZAF,20.83494626136287
182,Zambia,ZMB,13.083642309364429
183,Zimbabwe,ZWE,-1.7330902046198844
184,Aruba,ABW,
185,Andorra,AND,
186,American Samoa,ASM,
187,Bermuda,BMU,
188,Channel Islands,CHI,
189,Cuba,CUB,
190,Curacao,CUW,
191,Cayman Islands,CYM,
192,Djibouti,DJI,
193,Eritrea,ERI,
194,Faroe Islands,FRO,
195,Gibraltar,GIB,
196,Greenland,GRL,
197,Guam,GUM,
198,"Hong Kong SAR, China",HKG,
199,Isle of Man,IMN,
200,Liechtenstein,LIE,
201,"Macao SAR, China",MAC,
202,St. Martin (French part),MAF,
203,Monaco,MCO,
204,Northern Mariana Islands,MNP,
205,New Caledonia,NCL,
206,Puerto Rico,PRI,
207,"Korea, Dem. People’s Rep.",PRK,
208,French Polynesia,PYF,
209,Somalia,SOM,
210,Sint Maarten (Dutch part),SXM,
211,Syrian Arab Republic,SYR,
212,Turks and Caicos Islands,TCA,
213,"Venezuela, RB",VEN,
214,British Virgin Islands,VGB,
215,Virgin Islands (U.S.),VIR,
216,Kosovo,XKX,
