country,country_code,remittances_resid
Ethiopia,ETH,89414397.29717755
European Union,EUU,105231963951.74982
Fragile and conflict affected situations,FCS,26752756532.85147
Finland,FIN,-1724319142.3584833
Fiji,FJI,-2050193384.2235777
France,FRA,21487713425.375595
"Micronesia, Fed. Sts.",FSM,-1345656523.5460706
United Kingdom,GBR,2413569282.965384
Georgia,GEO,-859671545.3649597
Ghana,GHA,3501648646.7713337
Guinea,GIN,-916847717.5248737
"Gambia, The",GMB,-868164654.5270758
Guinea-Bissau,GNB,-893301324.59528
Greece,GRC,-1499828984.580799
Grenada,GRD,-1993822389.262346
Guatemala,GTM,4459507333.244591
Guyana,GUY,-1774875670.1977649
High income,HIC,130597815760.84137
"Hong Kong SAR, China",HKG,-2205878464.8607473
Honduras,HND,2089184654.0271966
Heavily indebted poor countries (HIPC),HPC,22638302265.892403
Croatia,HRV,219653152.65432572
Haiti,HTI,1171771107.1263847
Hungary,HUN,2716198296.8881617
IBRD only,IBD,328408236631.78253
IDA & IBRD total,IBT,437494050667.71893
IDA total,IDA,107862256550.9411
IDA blend,IDB,47985652329.74881
Indonesia,IDN,7398704251.661865
IDA only,IDX,58354450833.34882
India,IND,67060896225.406075
Ireland,IRL,-1663964407.5931082
"Iran, Islamic Rep.",IRN,-676267968.8016245
Iraq,IRQ,-987062752.3513021
Iceland,ISL,-2371782014.954316
Israel,ISR,-1553500840.2970777
Italy,ITA,7164446116.793913
Jamaica,JAM,117576130.47281647
Jordan,JOR,3044994751.2881904
Japan,JPN,751723535.9213948
Kazakhstan,KAZ,-1704682061.842766
Kenya,KEN,290490863.3372538
Kyrgyz Republic,KGZ,325617625.53353477
Cambodia,KHM,-187560705.98585153
Kiribati,KIR,-1073314241.7250624
St. Kitts and Nevis,KNA,-1928147329.0578904
"Korea, Rep.",KOR,4072799109.1767373
Kuwait,KWT,-2069713308.5539932
Latin America & Caribbean (excluding high income),LAC,65440931432.773766
Lao PDR,LAO,-1659294717.5314937
Lebanon,LBN,5475114605.535774
Liberia,LBR,-272597332.3341676
St. Lucia,LCA,-2069224821.1375434
Latin America & Caribbean,LCN,67171283480.68962
Least developed countries: UN classification,LDC,41098308976.02647
Low income,LIC,27656298792.308807
Sri Lanka,LKA,4802184248.664687
Lower middle income,LMC,250927559208.24677
Low & middle income,LMY,428999214533.4918
Lesotho,LSO,-882508338.0797108
Late-demographic dividend,LTE,135004863092.49368
Lithuania,LTU,-652936592.2114882
Luxembourg,LUX,464576719.92770267
Latvia,LVA,-567660981.6909709
"Macao SAR, China",MAC,-1030434444.22725
Morocco,MAR,4789572366.361548
Moldova,MDA,-120986033.7430389
Madagascar,MDG,-635892227.772608
Maldives,MDV,-1981350098.757464
Middle East & North Africa,MEA,51128527669.1986
Mexico,MEX,24224986083.19989
Marshall Islands,MHL,-1421740722.68535
Middle income,MIC,400313546127.5778
"Macedonia, FYR",MKD,-1714283308.9458048
Mali,MLI,-281246645.5366287
Malta,MLT,-2169932133.975518
Myanmar,MMR,284800611.99793386
Middle East & North Africa (excluding high income),MNA,49077557622.88487
Montenegro,MNE,-1532941232.8631778
Mongolia,MNG,-1903297480.0397923
Mozambique,MOZ,-761449831.343036
Mauritius,MUS,-1699025484.7398114
Malawi,MWI,-856138376.3408103
Malaysia,MYS,-283107033.26234484
North America,NAC,6706257661.985275
Namibia,NAM,-2237924950.0430355
Niger,NER,-684927540.0433073
Nigeria,NGA,19321988474.153976
Nicaragua,NIC,-503501180.1879246
Netherlands,NLD,-283084499.3046694
Norway,NOR,-1900135382.397957
Nepal,NPL,5561688198.030957
New Zealand,NZL,-2208063091.511625
OECD members,OED,149965097513.24716
Oman,OMN,-2552760008.3721733
Other small states,OSS,1661845264.7508278
Pakistan,PAK,17654657201.61782
Panama,PAN,-1330284319.718013
Peru,PER,598203496.5066352
Philippines,PHL,27755556447.415874
Palau,PLW,-1979269967.196744
Papua New Guinea,PNG,-1470557260.5394716
Poland,POL,4858057693.987066
Pre-demographic dividend,PRE,32475743443.02933
Portugal,PRT,-1692335445.4444642
Paraguay,PRY,-1637342442.4122891
West Bank and Gaza,PSE,171111828.75239635
Pacific island small states,PSS,-1112817506.2643547
Post-demographic dividend,PST,125482937824.69986
Qatar,QAT,-48789437.52735895
Romania,ROU,1197692927.5859413
Russian Federation,RUS,5008941386.838237
Rwanda,RWA,-883033819.1385247
South Asia,SAS,115834251476.04422
Saudi Arabia,SAU,-2291481055.4832106
Sudan,SDN,-1421599437.0527
Senegal,SEN,373215085.92112136
Solomon Islands,SLB,-1114122034.9090023
Sierra Leone,SLE,-900450703.231855
El Salvador,SLV,2225107600.244976
Serbia,SRB,1358371320.9651206
Sub-Saharan Africa (excluding high income),SSA,41157586843.64573
South Sudan,SSD,65584379.80326319
Sub-Saharan Africa,SSF,41175609712.758736
Small states,SST,5571660420.404698
Sao Tome and Principe,STP,-1282100321.2411454
Suriname,SUR,-1984374892.2463026
Slovak Republic,SVK,76737386.40674019
Slovenia,SVN,-1784312233.0684633
Sweden,SWE,779568621.4774394
Eswatini,SWZ,-2093260661.2918355
Sint Maarten (Dutch part),SXM,-2302201759.9489975
Seychelles,SYC,-1904985029.1784608
East Asia & Pacific (IDA & IBRD countries),TEA,106929157480.94124
Europe & Central Asia (IDA & IBRD countries),TEC,50426245124.4808
Togo,TGO,-615157025.3588152
Thailand,THA,3894303728.869666
Tajikistan,TJK,1020928338.5033777
Turkmenistan,TKM,-1982566316.7043772
Latin America & the Caribbean (IDA & IBRD countries),TLA,66853006614.550804
Timor-Leste,TLS,-2069043433.2836947
Middle East & North Africa (IDA & IBRD countries),TMN,47259286223.49687
Tonga,TON,-1594850473.3145604
South Asia (IDA & IBRD),TSA,115834251476.04422
Sub-Saharan Africa (IDA & IBRD countries),TSS,41175609712.758736
Trinidad and Tobago,TTO,-2123122155.6177974
Tunisia,TUN,-253388914.62641978
Turkey,TUR,-501232892.13609695
Tuvalu,TUV,-1395177598.836857
Tanzania,TZA,-818218936.3422347
Uganda,UGA,-124888691.85154724
Ukraine,UKR,6332543978.288269
Upper middle income,UMC,147750729342.05612
Uruguay,URY,-1807962545.0794775
United States,USA,3984972572.170429
Uzbekistan,UZB,1223416931.6028454
St. Vincent and the Grenadines,VCT,-2212070988.2891135
Vietnam,VNM,11387883588.36867
Vanuatu,VUT,-1248606960.648237
World,WLD,562515651847.151
Samoa,WSM,-1681853625.5585682
Kosovo,XKX,-1354748310.3105607
"Yemen, Rep.",YEM,2024962860.8622832
South Africa,ZAF,-1241010041.283022
Zambia,ZMB,-1394343441.0016642
Zimbabwe,ZWE,903582460.6644912
