country,country_code,net_migration
Serbia,SRB,-50000.0
,,
South Sudan,SSD,150000.0
Sub-Saharan Africa,SSF,-1724595.0
,,
Sao Tome and Principe,STP,-4999.0
Suriname,SUR,-4999.0
Slovak Republic,SVK,4999.0
Slovenia,SVN,6002.0
Sweden,SWE,200000.0
Eswatini,SWZ,-9999.0
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,-1000.0
Syrian Arab Republic,SYR,-1240000.0
Turks and Caicos Islands,TCA,
Chad,TCD,10000.0
,,
,,
Togo,TGO,-9999.0
Thailand,THA,97222.0
Tajikistan,TJK,-99999.0
Turkmenistan,TKM,-25001.0
,,
Timor-Leste,TLS,-50004.0
,,
Tonga,TON,-4833.0
,,
,,
Trinidad and Tobago,TTO,-4499.0
Tunisia,TUN,-20000.0
Turkey,TUR,1525002.0
Tuvalu,TUV,
Tanzania,TZA,-199999.0
Uganda,UGA,-150000.0
Ukraine,UKR,-100000.0
,,
Uruguay,URY,-15000.0
United States,USA,4500000.0
Uzbekistan,UZB,-44314.0
St. Vincent and the Grenadines,VCT,-2996.0
"Venezuela, RB",VEN,-60493.0
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,-2254.0
Vietnam,VNM,-200000.0
Vanuatu,VUT,604.0
,,
Samoa,WSM,-12500.0
Kosovo,XKX,
"Yemen, Rep.",YEM,-150000.0
South Africa,ZAF,300000.0
Zambia,ZMB,-40000.0
Zimbabwe,ZWE,-99998.0
