,country,country_code,revenue_pct_gdp_resid
111,Turkey,TUR,2.6891907289174988
112,Uganda,UGA,-5.659434549742716
113,Ukraine,UKR,13.801510187245743
114,Uruguay,URY,2.282086420714652
115,United States,USA,-12.940876122625067
116,Uzbekistan,UZB,4.091325649599515
117,Vanuatu,VUT,0.7397223817431495
118,Samoa,WSM,4.149171697512539
119,South Africa,ZAF,7.657764948340873
120,Zambia,ZMB,-2.02960667517263
121,Aruba,ABW,
122,Andorra,AND,
123,American Samoa,ASM,
124,Antigua and Barbuda,ATG,
125,Burundi,BDI,
126,Benin,BEN,
127,Bahrain,BHR,
128,Belize,BLZ,
129,Bermuda,BMU,
130,Bolivia,BOL,
131,Brunei Darussalam,BRN,
132,Central African Republic,CAF,
133,Channel Islands,CHI,
134,Cameroon,CMR,
135,"Congo, Dem. Rep.",COD,
136,"Congo, Rep.",COG,
137,Comoros,COM,
138,Cabo Verde,CPV,
139,Cuba,CUB,
140,Curacao,CUW,
141,Cayman Islands,CYM,
142,Djibouti,DJI,
143,Dominica,DMA,
144,Algeria,DZA,
145,Ecuador,ECU,
146,Eritrea,ERI,
147,Ethiopia,ETH,
148,Faroe Islands,FRO,
149,Gabon,GAB,
150,Ghana,GHA,
151,Gibraltar,GIB,
152,Guinea,GIN,
153,"Gambia, The",GMB,
154,Guinea-Bissau,GNB,
155,Grenada,GRD,
156,Greenland,GRL,
157,Guam,GUM,
158,Guyana,GUY,
159,"Hong Kong SAR, China",HKG,
160,Croatia,HRV,
161,Haiti,HTI,
162,Isle of Man,IMN,
163,India,IND,
164,"Iran, Islamic Rep.",IRN,
165,Jordan,JOR,
166,St. Kitts and Nevis,KNA,
167,Liberia,LBR,
168,Libya,LBY,
169,St. Lucia,LCA,
170,Liechtenstein,LIE,
171,St. Martin (French part),MAF,
172,Morocco,MAR,
173,Monaco,MCO,
174,Madagascar,MDG,
175,Maldives,MDV,
176,Montenegro,MNE,
177,Northern Mariana Islands,MNP,
178,Mauritania,MRT,
179,New Caledonia,NCL,
180,Niger,NER,
181,Nigeria,NGA,
182,Nauru,NRU,
183,Oman,OMN,
184,Pakistan,PAK,
185,Panama,PAN,
186,Puerto Rico,PRI,
187,"Korea, Dem. People’s Rep.",PRK,
188,French Polynesia,PYF,
189,Qatar,QAT,
190,Saudi Arabia,SAU,
191,Sudan,SDN,
192,Sierra Leone,SLE,
193,Somalia,SOM,
194,Serbia,SRB,
195,South Sudan,SSD,
196,Sao Tome and Principe,STP,
197,Suriname,SUR,
198,Eswatini,SWZ,
199,Sint Maarten (Dutch part),SXM,
200,Syrian Arab Republic,SYR,
201,Turks and Caicos Islands,TCA,
202,Chad,TCD,
203,Tajikistan,TJK,
204,Turkmenistan,TKM,
205,Tonga,TON,
206,Tunisia,TUN,
207,Tuvalu,TUV,
208,Tanzania,TZA,
209,St. Vincent and the Grenadines,VCT,
210,"Venezuela, RB",VEN,
211,British Virgin Islands,VGB,
212,Virgin Islands (U.S.),VIR,
213,Vietnam,VNM,
214,Kosovo,XKX,
215,"Yemen, Rep.",YEM,
216,Zimbabwe,ZWE,
