country,country_code,biodiversity_protected_areas
Mauritania,MRT,1.0807480812480401
Mauritius,MUS,0.0115432840393507
Malawi,MWI,16.8938673074221
Malaysia,MYS,8.91348575727549
,,
Namibia,NAM,23.247131873056503
New Caledonia,NCL,95.7641579007986
Niger,NER,17.317135125011102
Nigeria,NGA,11.610734957973401
Nicaragua,NIC,15.4797788522118
Netherlands,NLD,17.8924581483262
Norway,NOR,4.96242625971203
Nepal,NPL,23.626103940504798
Nauru,NRU,
New Zealand,NZL,30.4786887810956
,,
Oman,OMN,1.0183041615309
,,
Pakistan,PAK,9.7949078821214
Panama,PAN,5.23495043629487
Peru,PER,13.1137339130108
Philippines,PHL,3.1413863819018704
Palau,PLW,82.9399513943563
Papua New Guinea,PNG,0.657996414830911
Poland,POL,38.037148438170206
,,
Puerto Rico,PRI,2.02425214978926
"Korea, Dem. People’s Rep.",PRK,1.26053207722418
Portugal,PRT,9.09757449950512
Paraguay,PRY,6.510362183261499
West Bank and Gaza,PSE,
Pacific island small states,PSS,1.1247402693925102
,,
French Polynesia,PYF,0.005855083719154179
Qatar,QAT,0.778383955157715
Romania,ROU,22.579967834334504
Russian Federation,RUS,7.61117652631545
Rwanda,RWA,9.11516142086508
South Asia,SAS,4.97871524187331
Saudi Arabia,SAU,4.04094603755622
Sudan,SDN,2.75330083929237
Senegal,SEN,14.489951463503301
Singapore,SGP,2.48665252687779
Solomon Islands,SLB,0.15528252541981
Sierra Leone,SLE,3.29728394383981
El Salvador,SLV,2.15222717624485
San Marino,SMR,
Somalia,SOM,0.8272836194081551
Serbia,SRB,6.149650148967731
,,
South Sudan,SSD,15.5015818826495
Sub-Saharan Africa,SSF,15.0966246948475
,,
Sao Tome and Principe,STP,0.244162518792601
Suriname,SUR,8.48321297296984
Slovak Republic,SVK,37.283515729079
Slovenia,SVN,55.0920233425064
Sweden,SWE,12.865282847100302
Eswatini,SWZ,4.095547390098
Sint Maarten (Dutch part),SXM,5.056179775280901
Seychelles,SYC,0.0513670647204141
Syrian Arab Republic,SYR,0.66292384624593
Turks and Caicos Islands,TCA,0.38773570079685504
Chad,TCD,20.3544453722663
,,
,,
Togo,TGO,21.7913330548002
Thailand,THA,12.5097447231165
Tajikistan,TJK,22.278588511869
Turkmenistan,TKM,3.2122310588272103
,,
Timor-Leste,TLS,4.42200884053989
,,
Tonga,TON,1.52163261595664
,,
,,
Trinidad and Tobago,TTO,2.01452631474999
Tunisia,TUN,5.2086095256071605
Turkey,TUR,0.19062482270398498
Tuvalu,TUV,0.00860724172331735
Tanzania,TZA,30.8434525614166
Uganda,UGA,16.0640835978875
Ukraine,UKR,3.8628762085969504
,,
Uruguay,URY,2.3250093418447597
United States,USA,26.326199718432
Uzbekistan,UZB,3.3750589802658997
St. Vincent and the Grenadines,VCT,0.4658620614937921
"Venezuela, RB",VEN,36.9025423875064
British Virgin Islands,VGB,0.0743447440124602
Virgin Islands (U.S.),VIR,0.9915975157872758
Vietnam,VNM,2.92944743522906
Vanuatu,VUT,0.0907589290005189
,,
Samoa,WSM,0.22855114109149802
Kosovo,XKX,
"Yemen, Rep.",YEM,0.605805312181478
South Africa,ZAF,12.9850092764781
Zambia,ZMB,38.049050844819796
Zimbabwe,ZWE,27.214542408906198
