,country,country_code,adolescent_fertility_rate_resid
64,Equatorial Guinea,GNQ,137.71812630687688
65,Greece,GRC,-17.02012010755378
66,Grenada,GRD,-9.40905619776511
67,Guatemala,GTM,17.350764055440948
68,Guyana,GUY,29.897684312543802
69,"Hong Kong SAR, China",HKG,-6.308058771686772
70,Honduras,HND,2.82427892342119
71,Croatia,HRV,-18.779612908256638
72,Haiti,HTI,-45.15312600944047
73,Hungary,HUN,-5.405132649376434
74,Indonesia,IDN,4.015282341749682
75,India,IND,-37.83082943850387
76,Ireland,IRL,3.0961691874111166
77,"Iran, Islamic Rep.",IRN,-9.79564077410597
78,Iraq,IRQ,40.557070940941784
79,Iceland,ISL,-3.548947187083651
80,Israel,ISR,-6.741298915191601
81,Italy,ITA,-10.130322707787183
82,Jamaica,JAM,2.979288962355426
83,Jordan,JOR,-27.11502257584239
84,Japan,JPN,-9.464780521809747
85,Kazakhstan,KAZ,2.879604241766401
86,Kenya,KEN,4.997494909703462
87,Kyrgyz Republic,KGZ,-36.578522457293495
88,Cambodia,KHM,-26.18822673754579
89,Kiribati,KIR,-64.43340682550954
90,"Korea, Rep.",KOR,-15.708304743449691
91,Kuwait,KWT,2.6705535763216437
92,Lao PDR,LAO,0.12132873178975245
93,Lebanon,LBN,-28.056130402190355
94,Liberia,LBR,43.69396807548871
95,Libya,LBY,-32.95650931572307
96,St. Lucia,LCA,0.0714565044471911
97,Sri Lanka,LKA,-27.583079450820044
98,Lesotho,LSO,11.200669966741273
99,Lithuania,LTU,-10.638682384343428
100,Luxembourg,LUX,0.4475605463860699
101,Latvia,LVA,-12.610220088515483
102,"Macao SAR, China",MAC,-2.1294134846803794
103,Morocco,MAR,-24.356054026718617
104,Moldova,MDA,-45.242294316373574
105,Madagascar,MDG,28.21829492129524
106,Maldives,MDV,-32.84916577820138
107,Mexico,MEX,25.82822203412772
108,"Macedonia, FYR",MKD,-23.93735005500449
109,Mali,MLI,90.28806581231176
110,Malta,MLT,-0.07255241967628479
111,Myanmar,MMR,-37.777146852199536
112,Montenegro,MNE,-25.63884637146342
113,Mongolia,MNG,-17.776300644903163
114,Mozambique,MOZ,55.7477662646061
115,Mauritania,MRT,7.505992984611922
116,Mauritius,MUS,-5.105457837487698
117,Malawi,MWI,54.726116848167564
118,Malaysia,MYS,-11.516734344173436
119,Namibia,NAM,30.75275891899011
120,Niger,NER,108.03418140977509
121,Nigeria,NGA,47.04677690586793
122,Nicaragua,NIC,20.690237471166924
123,Netherlands,NLD,-6.711319725265988
124,Norway,NOR,-2.610228007757578
125,Nepal,NPL,-17.048589401468206
126,New Zealand,NZL,5.711769067831046
127,Oman,OMN,-4.356582222608923
128,Pakistan,PAK,-30.44976704191768
129,Panama,PAN,54.265158742959926
130,Peru,PER,7.228198125994638
131,Philippines,PHL,0.6446038043113447
132,Papua New Guinea,PNG,-18.955711871401803
133,Poland,POL,-11.534044800502908
134,Puerto Rico,PRI,23.890980291558904
135,Portugal,PRT,-11.772014107634423
136,Paraguay,PRY,14.454972135750367
137,West Bank and Gaza,PSE,-10.77291505211555
138,Pacific island small states,PSS,-27.106402228172378
139,Qatar,QAT,7.337686489903171
140,Romania,ROU,4.1335149664928466
141,Russian Federation,RUS,-3.2893200265928186
142,Rwanda,RWA,-55.86272565769989
143,South Asia,SAS,-30.78641439712083
144,Saudi Arabia,SAU,-1.0166056518855324
145,Sudan,SDN,-0.49651603110396536
146,Senegal,SEN,-0.6138515016429977
147,Singapore,SGP,-2.6429687797545394
148,Solomon Islands,SLB,-32.29215562186004
149,Sierra Leone,SLE,32.458011201477404
150,El Salvador,SLV,13.187213134947307
151,Serbia,SRB,-20.995577930278884
152,South Sudan,SSD,-14.521560827857272
153,Sub-Saharan Africa,SSF,28.890250018577447
154,Sao Tome and Principe,STP,20.135948174781035
155,Suriname,SUR,8.293314188378474
156,Slovak Republic,SVK,0.07316009734048734
157,Slovenia,SVN,-16.029195273743028
158,Sweden,SWE,-5.968913885443408
159,Eswatini,SWZ,25.572775125439897
160,Seychelles,SYC,33.66460392040517
161,Chad,TCD,85.94905460508902
162,Togo,TGO,4.972383101244446
163,Thailand,THA,13.554204874914959
164,Tajikistan,TJK,-41.662484803772465
165,Turkmenistan,TKM,-13.321762933125758
166,Timor-Leste,TLS,-8.881579442268311
167,Tonga,TON,-51.10124640594205
168,Trinidad and Tobago,TTO,13.278399395781147
169,Tunisia,TUN,-36.04894642990442
170,Turkey,TUR,1.325806419947014
171,Tanzania,TZA,38.28654984563259
172,Uganda,UGA,30.5072510770015
173,Ukraine,UKR,-30.362099645869606
174,Uruguay,URY,25.09898464483177
175,United States,USA,13.16698102719468
176,Uzbekistan,UZB,-47.175195588979705
177,St. Vincent and the Grenadines,VCT,6.765291777725075
178,Vietnam,VNM,-33.995852762996805
179,Vanuatu,VUT,-35.170213925317086
180,Samoa,WSM,-39.134712864316896
181,"Yemen, Rep.",YEM,-13.690915495313178
182,South Africa,ZAF,4.634301527976277
183,Zambia,ZMB,14.974718906143252
184,Zimbabwe,ZWE,26.224828150519215
185,Andorra,AND,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,American Samoa,ASM,
230,Bermuda,BMU,
231,Channel Islands,CHI,
232,Cuba,CUB,
233,Curacao,CUW,
234,Cayman Islands,CYM,
235,Djibouti,DJI,
236,Dominica,DMA,
237,Eritrea,ERI,
238,Faroe Islands,FRO,
239,Gibraltar,GIB,
240,Greenland,GRL,
241,Guam,GUM,
242,Isle of Man,IMN,
243,St. Kitts and Nevis,KNA,
244,Liechtenstein,LIE,
245,St. Martin (French part),MAF,
246,Monaco,MCO,
247,Marshall Islands,MHL,
248,Northern Mariana Islands,MNP,
249,New Caledonia,NCL,
250,Nauru,NRU,
251,Palau,PLW,
252,"Korea, Dem. People’s Rep.",PRK,
253,French Polynesia,PYF,
254,San Marino,SMR,
255,Somalia,SOM,
256,Sint Maarten (Dutch part),SXM,
257,Syrian Arab Republic,SYR,
258,Turks and Caicos Islands,TCA,
259,Tuvalu,TUV,
260,"Venezuela, RB",VEN,
261,British Virgin Islands,VGB,
262,Virgin Islands (U.S.),VIR,
263,Kosovo,XKX,
