,country,country_code,maternal_mortality_rate_resid
251,"Korea, Dem. People’s Rep.",PRK,
252,French Polynesia,PYF,
253,San Marino,SMR,
254,Somalia,SOM,
255,Sint Maarten (Dutch part),SXM,
256,Seychelles,SYC,
257,Syrian Arab Republic,SYR,
258,Turks and Caicos Islands,TCA,
259,Tuvalu,TUV,
260,"Venezuela, RB",VEN,
261,British Virgin Islands,VGB,
262,Virgin Islands (U.S.),VIR,
263,Kosovo,XKX,
