,country,country_code,trade_pct_gdp_resid
55,France,FRA,-32.06379279873584
56,"Micronesia, Fed. Sts.",FSM,31.87599581972293
57,Gabon,GAB,-12.287510104502843
58,United Kingdom,GBR,-37.56232881044468
59,Georgia,GEO,26.60373572322915
60,Ghana,GHA,2.8245030006365397
61,Guinea,GIN,3.06315726178768
62,"Gambia, The",GMB,-20.96373097952752
63,Guinea-Bissau,GNB,-9.06157777235503
64,Equatorial Guinea,GNQ,6.19369854501025
65,Greece,GRC,-29.895617017447307
66,Grenada,GRD,32.02310875642853
67,Guatemala,GTM,-26.652253542031474
68,Guyana,GUY,22.618725386455168
69,"Hong Kong SAR, China",HKG,290.40669221238966
70,Honduras,HND,33.726952468120274
71,Croatia,HRV,0.3487106264152544
72,Haiti,HTI,1.355531685417418
73,Hungary,HUN,78.23243803595656
74,Indonesia,IDN,-40.117049842661196
75,India,IND,-33.773429149569154
76,Ireland,IRL,113.98496943729903
77,"Iran, Islamic Rep.",IRN,-46.575349629379275
78,Iraq,IRQ,-6.193319043358713
79,Iceland,ISL,2.6568365955635755
80,Israel,ISR,-34.36471817084762
81,Italy,ITA,-36.944429231332215
82,Jamaica,JAM,-3.0008870290714356
83,Jordan,JOR,18.42067862467418
84,Japan,JPN,-58.244465602673365
85,Kazakhstan,KAZ,-40.422305920649514
86,Kenya,KEN,-26.967444384759716
87,Kyrgyz Republic,KGZ,39.13220629697257
88,Cambodia,KHM,55.94902474789917
89,Kiribati,KIR,40.403203701060306
90,St. Kitts and Nevis,KNA,19.069356910270344
91,"Korea, Rep.",KOR,-10.177554518340415
92,Kuwait,KWT,-4.520045886993685
93,Lao PDR,LAO,10.080904837519228
94,Lebanon,LBN,-10.23486488885301
95,Liberia,LBR,57.571395482687976
96,Libya,LBY,31.240647429456402
97,St. Lucia,LCA,-0.7036940643932894
98,Sri Lanka,LKA,-32.87325150659481
99,Lesotho,LSO,50.95885210443954
100,Lithuania,LTU,59.469374965729
101,Luxembourg,LUX,304.5341225202227
102,Latvia,LVA,27.719680576023833
103,"Macao SAR, China",MAC,10.47487664001845
104,Morocco,MAR,-0.7665201967782878
105,Moldova,MDA,42.472067119756446
106,Madagascar,MDG,-1.1280979252867525
107,Maldives,MDV,61.34895520186197
108,Mexico,MEX,-13.832358039489208
109,Marshall Islands,MHL,70.12993203634869
110,"Macedonia, FYR",MKD,31.027857388891576
111,Mali,MLI,-6.013919276998017
112,Malta,MLT,178.50226632317487
113,Myanmar,MMR,-27.308770975553323
114,Montenegro,MNE,19.10462271073996
115,Mongolia,MNG,7.725452434876104
116,Mozambique,MOZ,35.93537410232037
117,Mauritania,MRT,36.954056719932666
118,Mauritius,MUS,17.23680881571093
119,Malawi,MWI,-3.3075309118848253
120,Malaysia,MYS,40.14100017092488
121,Namibia,NAM,25.462278309212408
122,Niger,NER,-8.776449983748222
123,Nigeria,NGA,-54.16577595554563
124,Nicaragua,NIC,24.95595662749409
125,Netherlands,NLD,59.1977542006461
126,Norway,NOR,-30.318989731722255
127,Nepal,NPL,-17.222904015637674
128,Nauru,NRU,64.3327828849247
129,New Zealand,NZL,-39.40715775759523
130,Oman,OMN,14.572773118344003
131,Pakistan,PAK,-46.463150067039884
132,Panama,PAN,6.879931552782423
133,Peru,PER,-37.48839133704219
134,Philippines,PHL,-14.667856980893283
135,Palau,PLW,42.276616660630694
136,Poland,POL,2.658867105883189
137,Puerto Rico,PRI,15.038997096687993
138,Portugal,PRT,-12.477190757324792
139,Paraguay,PRY,-16.81259341213729
140,West Bank and Gaza,PSE,3.7819734246575507
141,Qatar,QAT,-14.953571260256396
142,Romania,ROU,-9.899639784340863
143,Russian Federation,RUS,-44.415461246114745
144,Rwanda,RWA,-16.790979287406202
145,Saudi Arabia,SAU,-26.293972965540448
146,Sudan,SDN,-54.391480079616194
147,Senegal,SEN,-13.208640211325509
148,Singapore,SGP,224.91835132577543
149,Solomon Islands,SLB,28.351922863198197
150,Sierra Leone,SLE,-1.8108744511750956
151,El Salvador,SLV,-1.4482130321403872
152,Serbia,SRB,20.457509928441482
153,South Sudan,SSD,-19.656441575383425
154,Slovak Republic,SVK,91.62864268971957
155,Slovenia,SVN,52.181726107477616
156,Sweden,SWE,-10.291889947067318
157,Eswatini,SWZ,21.11698019086272
158,Sint Maarten (Dutch part),SXM,126.98130158616001
159,Seychelles,SYC,78.6387728489008
160,Chad,TCD,-3.3395001696754463
161,Togo,TGO,38.56887816756132
162,Thailand,THA,42.43465079267196
163,Tajikistan,TJK,-18.128592056349042
164,Turkmenistan,TKM,-1.8515492613431093
165,Timor-Leste,TLS,51.280736957235064
166,Tonga,TON,6.8745604261441144
167,Tunisia,TUN,8.76692180579171
168,Turkey,TUR,-44.249647208148
169,Tanzania,TZA,-24.216425487059247
170,Uganda,UGA,-21.55700127150419
171,Ukraine,UKR,29.602218533790307
172,Uruguay,URY,-46.632758456930326
173,United States,USA,-70.98201945786244
174,Uzbekistan,UZB,-26.312004409026457
175,St. Vincent and the Grenadines,VCT,9.980372027380696
176,Vietnam,VNM,103.348356822763
177,Samoa,WSM,1.06984853626399
178,Kosovo,XKX,-8.27113119767266
179,South Africa,ZAF,-21.098460854758507
180,Zambia,ZMB,7.413713512651469
181,Zimbabwe,ZWE,-13.373024357816924
182,Andorra,AND,
183,American Samoa,ASM,
184,Bermuda,BMU,
185,Channel Islands,CHI,
186,Cuba,CUB,
187,Curacao,CUW,
188,Cayman Islands,CYM,
189,Djibouti,DJI,
190,Eritrea,ERI,
191,Faroe Islands,FRO,
192,Gibraltar,GIB,
193,Greenland,GRL,
194,Guam,GUM,
195,Isle of Man,IMN,
196,Liechtenstein,LIE,
197,St. Martin (French part),MAF,
198,Monaco,MCO,
199,Northern Mariana Islands,MNP,
200,New Caledonia,NCL,
201,Papua New Guinea,PNG,
202,"Korea, Dem. People’s Rep.",PRK,
203,French Polynesia,PYF,
204,San Marino,SMR,
205,Somalia,SOM,
206,Sao Tome and Principe,STP,
207,Suriname,SUR,
208,Syrian Arab Republic,SYR,
209,Turks and Caicos Islands,TCA,
210,Trinidad and Tobago,TTO,
211,Tuvalu,TUV,
212,"Venezuela, RB",VEN,
213,British Virgin Islands,VGB,
214,Virgin Islands (U.S.),VIR,
215,Vanuatu,VUT,
216,"Yemen, Rep.",YEM,
