,country,country_code,net_lending_borrowing_pct_gdp_resid
163,Liberia,LBR,
164,Libya,LBY,
165,St. Lucia,LCA,
166,Liechtenstein,LIE,
167,"Macao SAR, China",MAC,
168,St. Martin (French part),MAF,
169,Morocco,MAR,
170,Monaco,MCO,
171,Madagascar,MDG,
172,Maldives,MDV,
173,Montenegro,MNE,
174,Northern Mariana Islands,MNP,
175,Mozambique,MOZ,
176,Mauritania,MRT,
177,New Caledonia,NCL,
178,Niger,NER,
179,Nigeria,NGA,
180,Nauru,NRU,
181,Oman,OMN,
182,Pakistan,PAK,
183,Panama,PAN,
184,Puerto Rico,PRI,
185,"Korea, Dem. People’s Rep.",PRK,
186,West Bank and Gaza,PSE,
187,French Polynesia,PYF,
188,Qatar,QAT,
189,Saudi Arabia,SAU,
190,Sudan,SDN,
191,Sierra Leone,SLE,
192,San Marino,SMR,
193,Somalia,SOM,
194,Serbia,SRB,
195,South Sudan,SSD,
196,Sao Tome and Principe,STP,
197,Suriname,SUR,
198,Eswatini,SWZ,
199,Sint Maarten (Dutch part),SXM,
200,Syrian Arab Republic,SYR,
201,Turks and Caicos Islands,TCA,
202,Chad,TCD,
203,Tajikistan,TJK,
204,Turkmenistan,TKM,
205,Tonga,TON,
206,Tunisia,TUN,
207,Tuvalu,TUV,
208,Tanzania,TZA,
209,St. Vincent and the Grenadines,VCT,
210,"Venezuela, RB",VEN,
211,British Virgin Islands,VGB,
212,Virgin Islands (U.S.),VIR,
213,Vietnam,VNM,
214,Kosovo,XKX,
215,"Yemen, Rep.",YEM,
216,Zimbabwe,ZWE,
