,country,country_code,female_literacy_pct_resid
67,Cote d'Ivoire,CIV,
68,Cameroon,CMR,
69,"Congo, Dem. Rep.",COD,
70,"Congo, Rep.",COG,
71,Comoros,COM,
72,Costa Rica,CRI,
73,Cuba,CUB,
74,Curacao,CUW,
75,Cayman Islands,CYM,
76,Cyprus,CYP,
77,Czech Republic,CZE,
78,Germany,DEU,
79,Djibouti,DJI,
80,Dominica,DMA,
81,Denmark,DNK,
82,Algeria,DZA,
83,"Egypt, Arab Rep.",EGY,
84,Eritrea,ERI,
85,Estonia,EST,
86,Ethiopia,ETH,
87,Finland,FIN,
88,Fiji,FJI,
89,France,FRA,
90,Faroe Islands,FRO,
91,"Micronesia, Fed. Sts.",FSM,
92,Gabon,GAB,
93,United Kingdom,GBR,
94,Georgia,GEO,
95,Ghana,GHA,
96,Gibraltar,GIB,
97,Guinea,GIN,
98,"Gambia, The",GMB,
99,Guinea-Bissau,GNB,
100,Equatorial Guinea,GNQ,
101,Greece,GRC,
102,Grenada,GRD,
103,Greenland,GRL,
104,Guatemala,GTM,
105,Guam,GUM,
106,Guyana,GUY,
107,"Hong Kong SAR, China",HKG,
108,Croatia,HRV,
109,Haiti,HTI,
110,Hungary,HUN,
111,Isle of Man,IMN,
112,India,IND,
113,Ireland,IRL,
114,"Iran, Islamic Rep.",IRN,
115,Iraq,IRQ,
116,Iceland,ISL,
117,Israel,ISR,
118,Italy,ITA,
119,Jamaica,JAM,
120,Jordan,JOR,
121,Japan,JPN,
122,Kazakhstan,KAZ,
123,Kenya,KEN,
124,Kyrgyz Republic,KGZ,
125,Kiribati,KIR,
126,St. Kitts and Nevis,KNA,
127,"Korea, Rep.",KOR,
128,Lebanon,LBN,
129,Liberia,LBR,
130,Libya,LBY,
131,St. Lucia,LCA,
132,Liechtenstein,LIE,
133,Sri Lanka,LKA,
134,Lesotho,LSO,
135,Lithuania,LTU,
136,Luxembourg,LUX,
137,Latvia,LVA,
138,"Macao SAR, China",MAC,
139,St. Martin (French part),MAF,
140,Morocco,MAR,
141,Monaco,MCO,
142,Moldova,MDA,
143,Madagascar,MDG,
144,Maldives,MDV,
145,Marshall Islands,MHL,
146,"Macedonia, FYR",MKD,
147,Malta,MLT,
148,Myanmar,MMR,
149,Montenegro,MNE,
150,Mongolia,MNG,
151,Northern Mariana Islands,MNP,
152,Mauritania,MRT,
153,Malaysia,MYS,
154,Namibia,NAM,
155,New Caledonia,NCL,
156,Niger,NER,
157,Nigeria,NGA,
158,Nicaragua,NIC,
159,Netherlands,NLD,
160,Norway,NOR,
161,Nepal,NPL,
162,Nauru,NRU,
163,New Zealand,NZL,
164,Pakistan,PAK,
165,Panama,PAN,
166,Philippines,PHL,
167,Papua New Guinea,PNG,
168,Poland,POL,
169,Puerto Rico,PRI,
170,"Korea, Dem. People’s Rep.",PRK,
171,Portugal,PRT,
172,French Polynesia,PYF,
173,Qatar,QAT,
174,Romania,ROU,
175,Russian Federation,RUS,
176,Rwanda,RWA,
177,Saudi Arabia,SAU,
178,Sudan,SDN,
179,Senegal,SEN,
180,Solomon Islands,SLB,
181,Sierra Leone,SLE,
182,San Marino,SMR,
183,Somalia,SOM,
184,Serbia,SRB,
185,South Sudan,SSD,
186,Sao Tome and Principe,STP,
187,Suriname,SUR,
188,Slovak Republic,SVK,
189,Slovenia,SVN,
190,Sweden,SWE,
191,Eswatini,SWZ,
192,Sint Maarten (Dutch part),SXM,
193,Seychelles,SYC,
194,Syrian Arab Republic,SYR,
195,Turks and Caicos Islands,TCA,
196,Tajikistan,TJK,
197,Turkmenistan,TKM,
198,Timor-Leste,TLS,
199,Tonga,TON,
200,Trinidad and Tobago,TTO,
201,Tunisia,TUN,
202,Tuvalu,TUV,
203,Uganda,UGA,
204,Ukraine,UKR,
205,United States,USA,
206,St. Vincent and the Grenadines,VCT,
207,"Venezuela, RB",VEN,
208,British Virgin Islands,VGB,
209,Virgin Islands (U.S.),VIR,
210,Vietnam,VNM,
211,Vanuatu,VUT,
212,Samoa,WSM,
213,Kosovo,XKX,
214,"Yemen, Rep.",YEM,
215,Zambia,ZMB,
216,Zimbabwe,ZWE,
