country,country_code,mobile_phone_subscriptions_pct_pop
Solomon Islands,SLB,72.29361920875871
Sierra Leone,SLE,78.16747904007521
El Salvador,SLV,147.867952965539
San Marino,SMR,111.116504854369
Somalia,SOM,41.9610718307258
Serbia,SRB,130.347382257726
,,
South Sudan,SSD,24.3979701966044
Sub-Saharan Africa,SSF,74.7628151477235
,,
Sao Tome and Principe,STP,94.58867928387698
Suriname,SUR,135.65566658472
Slovak Republic,SVK,122.727757413705
Slovenia,SVN,113.453808292703
Sweden,SWE,129.448894947696
Eswatini,SWZ,71.3413307394707
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,158.140427983188
Syrian Arab Republic,SYR,76.39327958967891
Turks and Caicos Islands,TCA,
Chad,TCD,39.0151750112585
,,
,,
Togo,TGO,65.4622571830824
Thailand,THA,149.935331267041
Tajikistan,TJK,99.30221739079072
Turkmenistan,TKM,140.909250992402
,,
Timor-Leste,TLS,110.934288064968
,,
Tonga,TON,69.0957466812079
,,
,,
Trinidad and Tobago,TTO,156.119880125756
Tunisia,TUN,129.468812305071
Turkey,TUR,94.08186548478349
Tuvalu,TUV,59.9945459503681
Tanzania,TZA,73.61847003701209
Uganda,UGA,50.368261249818495
Ukraine,UKR,143.983655408638
,,
Uruguay,URY,150.528798631057
United States,USA,119.49739048796101
Uzbekistan,UZB,70.3231057339482
St. Vincent and the Grenadines,VCT,103.57772600612101
"Venezuela, RB",VEN,93.3827374968119
British Virgin Islands,VGB,189.93457974961004
Virgin Islands (U.S.),VIR,
Vietnam,VNM,128.590399688401
Vanuatu,VUT,66.0680339981028
,,
Samoa,WSM,62.1994333166459
Kosovo,XKX,
"Yemen, Rep.",YEM,55.8100664034869
South Africa,ZAF,159.156343524673
Zambia,ZMB,71.7844945653224
Zimbabwe,ZWE,80.8584986256652
