,Applied during year,Country / territory of asylum/residence,Origin,Otherwise closed,RSD procedure type / level,Rejected,Tota pending start-year,Total decisions,Total pending end-year,Year,of which UNHCR-assisted,statistics.filter.decisions_other,statistics.filter.decisions_recognized
108103,,Cyprus,Afghanistan,,G / AR,3,4,3,1,2015,,,
108104,24,Czech Rep.,Afghanistan,18,G / FI,,7,25,6,2015,0,7,
108105,,Germany,Afghanistan,1555,G / JR,295,6097,2491,3679,2015,0,404,237
108106,520,Germany,Afghanistan,173,G / RA,10,627,474,909,2015,,133,158
108107,31382,Germany,Afghanistan,2132,G / NA,809,12299,5492,38014,2015,0,1001,1550
108108,2331,Denmark,Afghanistan,,G / FI,110,84,177,172,2015,0,48,19
108109,136,Denmark,Afghanistan,,G / AR,90,60,139,45,2015,0,17,32
108110,,Dominican Rep.,Afghanistan,,G / FI,,4,4,0,2015,0,,4
108111,8,Egypt,Afghanistan,,U / FI,,25,,33,2015,33,,
108112,,Egypt,Afghanistan,,U / RA,,1,,1,2015,1,,
108113,41,Spain,Afghanistan,,G / FI,3,131,53,115,2015,,17,33
108114,12,Estonia,Afghanistan,0,G / FI,9,0,10,3,2015,0,0,1
108115,3283,Finland,Afghanistan,136,G / FI,43,133,234,3209,2015,0,19,36
108116,16,Finland,Afghanistan,0,G / RA,4,,12,8,2015,0,0,8
108117,0,Fiji,Afghanistan,0,J / FI,0,1,,1,2015,1,,0
108118,131,France,Afghanistan,4,G / AR,43,69,117,116,2015,,48,22
108119,2456,France,Afghanistan,,G / FI,136,355,689,1994,2015,,346,207
108120,23,France,Afghanistan,,G / RA,,,,,2015,,,
108121,58,United Kingdom,Afghanistan,5,G / RA,2,,9,,2015,,0,2
108122,777,United Kingdom,Afghanistan,28,G / AR,252,,541,,2015,,,261
108123,2807,United Kingdom,Afghanistan,485,G / FI,1040,1894,2310,2536,2015,,193,592
108124,2,Georgia,Afghanistan,1,G / JR,,0,1,1,2015,0,,
108125,9,Georgia,Afghanistan,10,G / FI,3,10,13,6,2015,6,,
108126,1542,Greece,Afghanistan,699,G / FI,261,654,1308,517,2015,,171,177
108127,178,Greece,Afghanistan,,G / RA,,,,,2015,,,
108128,180,Greece,Afghanistan,4,G / AR,72,120,208,70,2015,,80,52
108129,1,Guatemala,Afghanistan,,G / FI,,,,1,2015,0,,
108130,,China HK,Afghanistan,,U / AR,,1,,1,2015,0,,
108131,4,China HK,Afghanistan,,U / FI,,4,,8,2015,0,,
108132,,China HK,Afghanistan,,U / RA,,1,,1,2015,0,,
108133,,Croatia,Afghanistan,,G / JR,1,1,1,0,2015,,,
108134,9,Croatia,Afghanistan,8,G / FI,5,6,14,1,2015,1,,1
108135,45560,Hungary,Afghanistan,,G / RA,,,,,2015,,,
108136,46227,Hungary,Afghanistan,39888,G / FI,367,2623,40345,8469,2015,845,65,25
108137,89,Indonesia,Afghanistan,,U / AR,54,122,104,107,2015,107,,50
108138,1315,Indonesia,Afghanistan,171,U / FI,59,4052,1692,3675,2015,3675,,1462
108139,482,India,Afghanistan,0,U / AR,266,30,294,218,2015,218,0,28
108140,2696,India,Afghanistan,619,U / FI,655,1275,1461,2510,2015,2510,0,187
108141,124,Ireland,Afghanistan,30,G / FI,9,18,45,103,2015,0,,6
108142,16,Ireland,Afghanistan,1,G / SP,3,20,11,25,2015,0,,7
108143,13,Ireland,Afghanistan,2,G / AR,7,27,21,19,2015,0,,12
108144,4,Ireland,Afghanistan,,G / RA,,,,,2015,0,,
108145,,Iran (Islamic Rep. of),Afghanistan,,U / FI,,33,,33,2015,33,,
108146,2,Iraq,Afghanistan,,U / FI,,131,,133,2015,133,,
108147,22,Iceland,Afghanistan,1,G / FI,0,1,2,21,2015,0,0,1
108148,3986,Italy,Afghanistan,14,G / FI,152,1778,3444,2690,2015,,2973,305
108149,0,Jordan,Afghanistan,2,U / FI,0,11,2,9,2015,9,0,0
108150,14,Japan,Afghanistan,,G / FI,3,12,9,14,2015,3,,6
108151,1,Kazakhstan,Afghanistan,18,U / FI,,17,18,0,2015,0,,
108152,311,Kazakhstan,Afghanistan,35,G / FI,154,,311,0,2015,0,,122
108153,56,Kazakhstan,Afghanistan,14,G / AR,,7,14,49,2015,49,,
108154,0,Kyrgyzstan,Afghanistan,0,U / AR,11,11,11,0,2015,0,0,0
108155,35,Kyrgyzstan,Afghanistan,0,U / FI,0,0,5,30,2015,30,0,5
108156,120,Kyrgyzstan,Afghanistan,40,G / FI,110,122,154,88,2015,88,,4
108157,14,Rep. of Korea,Afghanistan,5,G / FA,6,33,22,20,2015,3,8,3
108158,2,Lebanon,Afghanistan,1,U / FI,,13,2,13,2015,13,,1
108159,,Lebanon,Afghanistan,5,U / AR,,6,5,1,2015,1,,
108160,,Libya,Afghanistan,,U / FI,,1,,1,2015,1,,
108161,8,Liechtenstein,Afghanistan,,G / FI,1,,1,7,2015,0,,
108162,117,Sri Lanka,Afghanistan,3,U / FI,5,88,98,107,2015,107,,90
108163,3,Sri Lanka,Afghanistan,,U / AR,1,,2,1,2015,1,,1
108164,31,Lithuania,Afghanistan,48,G / FI,1,46,62,15,2015,0,13,0
108165,3,Luxembourg,Afghanistan,,G / AR,,1,1,1,2015,0,,1
108166,1,Luxembourg,Afghanistan,1,G / RA,,,1,,2015,0,,
108167,0,Luxembourg,Afghanistan,,G / JR,3,3,3,0,2015,0,0,0
108168,217,Luxembourg,Afghanistan,7,G / FI,,12,9,221,2015,0,,2
108169,34,Latvia,Afghanistan,1,G / FI,4,12,13,33,2015,0,4,4
108170,,China Macao,Afghanistan,,G / FI,,1,,1,2015,0,,
108171,1,Morocco,Afghanistan,0,U / FI,0,0,,1,2015,1,0,0
108172,20,Rep. of Moldova,Afghanistan,11,G / FI,2,5,16,9,2015,9,,3
108173,,Madagascar,Afghanistan,,U / AR,,1,,1,2015,1,,
108174,0,Mexico,Afghanistan,0,G / FI,,6,,6,2015,,,
108175,358,The former Yugoslav Republic of Macedonia,Afghanistan,914,G / FA,1,558,915,1,2015,1,,
108176,4,Montenegro,Afghanistan,4,G / FA,0,0,4,0,2015,0,0,0
108177,2,Mongolia,Afghanistan,,U / FI,,2,2,2,2015,2,,2
108178,,Mozambique,Afghanistan,,G / FI,,1,,1,2015,0,,
108179,13,Malaysia,Afghanistan,,U / AR,1,23,4,32,2015,32,,3
108180,234,Malaysia,Afghanistan,63,U / FI,6,189,119,304,2015,304,,50
108181,320,Netherlands,Afghanistan,,G / RA,172,97,301,29,2015,,4,125
108182,2550,Netherlands,Afghanistan,40,G / FI,183,202,435,2331,2015,,2,210
108183,593,Norway,Afghanistan,19,G / AR,559,325,635,185,2015,0,17,40
108184,6916,Norway,Afghanistan,597,G / FI,111,227,1260,5858,2015,0,316,236
108185,71,Norway,Afghanistan,26,G / RA,18,0,44,33,2015,0,0,0
108186,46,Nepal,Afghanistan,27,U / FI,8,51,97,0,2015,0,,62
108187,0,Nauru,Afghanistan,,G / FI,12,57,50,7,2015,0,,38
108188,9,New Zealand,Afghanistan,,G / FI,1,1,3,7,2015,0,,2
108189,1,Angola,Afghanistan,,G / FI,,0,,1,2015,0,,
108190,3,Albania,Afghanistan,,G / FI,,0,3,0,2015,,,3
108191,,Argentina,Afghanistan,,G / FI,,1,,1,2015,0,,
108192,2,Armenia,Afghanistan,,G / FI,,,,2,2015,2,,
108193,542,Australia,Afghanistan,4,G / FI,33,1215,286,1356,2015,0,,249
108194,22,Australia,Afghanistan,2,G / AR,35,226,181,66,2015,0,,144
108195,213,United States of America,Angola,40,G / IN,0,274,58,435,2015,,,18
108196,15,United States of America,Angola,,G / EO,,50,,125,2015,,,
108197,0,South Africa,Angola,,G / AR,,45,,45,2015,5,,
108198,175,South Africa,Angola,,G / FI,,0,,175,2015,18,,
108199,19,Portugal,Angola,7,G / FI,0,6,7,18,2015,0,0,0
108200,1,Paraguay,Angola,,G / FI,,,,1,2015,0,,
108201,,Senegal,Angola,,G / FA,,12,,12,2015,12,,
108202,6,Serbia and Kosovo (S/RES/1244 (1999)),Angola,6,G / FI,,,6,0,2015,,,
108203,11,Sweden,Angola,0,G / RA,1,2,4,10,2015,0,3,0
108204,7,Sweden,Angola,7,G / FI,1,9,8,5,2015,0,0,0
108205,7,Sweden,Angola,0,G / AR,7,1,7,1,2015,0,0,0
108206,,Chad,Angola,,G / FA,,1,,1,2015,1,,
108207,,Thailand,Angola,,U / AR,,2,,2,2015,2,,
108208,1,Turkey,Angola,1,U / AR,1,2,2,1,2015,1,,
108209,1,Turkey,Angola,5,U / FI,1,12,6,7,2015,7,,
108210,0,Uganda,Angola,0,G / FA,0,2,,2,2015,2,0,0
108211,0,Ukraine,Angola,0,G / JR,0,9,,9,2015,0,,0
108212,4,Ukraine,Angola,3,G / FI,0,1,3,2,2015,0,0,0
108213,2,Uruguay,Angola,0,G / FI,1,0,1,1,2015,0,0,0
108214,5,Austria,Angola,,G / FA,5,24,13,10,2015,0,1,7
108215,0,Burundi,Angola,0,G / FI,0,9,,9,2015,9,0,0
108216,32,Belgium,Angola,22,G / RA,,,22,,2015,,,
108217,41,Belgium,Angola,13,G / JR,58,,71,5,2015,0,,
108218,56,Belgium,Angola,1,G / FI,47,13,51,24,2015,0,0,3
108219,1100,Brazil,Angola,,G / FI,36,113,49,1164,2015,905,,13
108220,15,Canada,Angola,,G / FI,15,13,22,9,2015,,,7
108221,9,Canada,Angola,,G / AR,7,0,9,0,2015,,,2
108222,32,Switzerland,Angola,2,G / FI,22,50,65,27,2015,0,39,2
108223,1,China,Angola,,U / FI,1,1,1,1,2015,1,,
108224,1,China,Angola,,U / AR,,,,1,2015,1,,
108225,1,Cameroon,Angola,,U / FI,,1,,2,2015,2,,
108226,0,Dem. Rep. of the Congo,Angola,0,G / FI,2,5,5,0,2015,0,0,3
108227,7,Congo,Angola,18,G / FA,,89,19,77,2015,77,,1
108228,,Cyprus,Angola,,G / FI,,1,,1,2015,,,
108229,52,Germany,Angola,14,G / NA,21,176,63,164,2015,0,24,4
108230,3,Germany,Angola,1,G / RA,1,6,3,6,2015,,1,0
108231,,Germany,Angola,15,G / JR,3,54,23,17,2015,0,2,3
108232,1,Algeria,Angola,,U / FI,,,,1,2015,1,,
108233,,Egypt,Angola,3,U / FI,,3,3,0,2015,0,,
108234,9,Spain,Angola,,G / FI,3,2,3,285,2015,,,
108235,9,Finland,Angola,9,G / FI,0,1,9,1,2015,0,0,0
108236,506,France,Angola,,G / FI,373,472,413,333,2015,,8,32
108237,305,France,Angola,17,G / AR,266,163,332,170,2015,,13,36
108238,26,France,Angola,,G / RA,,,,,2015,,,
108239,,Gabon,Angola,,G / FA,,1,,1,2015,1,,
108240,0,United Kingdom,Angola,0,G / RA,0,,,,2015,,0,0
108241,26,United Kingdom,Angola,2,G / AR,19,,27,,2015,,,6
108242,67,United Kingdom,Angola,5,G / FI,32,61,51,71,2015,,3,11
108243,,Greece,Angola,,G / AR,1,2,2,,2015,,,1
108244,5,Hungary,Angola,3,G / FI,1,0,4,1,2015,0,,
108245,5,Hungary,Angola,,G / RA,,,,,2015,,,
108246,2,India,Angola,0,U / FI,0,0,,2,2015,2,0,0
108247,1,Ireland,Angola,0,G / SP,0,1,,2,2015,0,,0
108248,3,Ireland,Angola,0,G / FI,1,1,1,3,2015,0,,0
108249,5,Ireland,Angola,2,G / AR,1,2,3,4,2015,0,,0
108250,2,Italy,Angola,,G / FI,2,1,6,1,2015,,4,
108251,,Japan,Angola,,G / FI,,2,,2,2015,1,,
108252,,Kenya,Angola,,J / AR,,1,,1,2015,1,,
108253,,Rep. of Korea,Angola,,G / FA,,,,0,2015,0,,
108254,,Luxembourg,Angola,,G / RA,,,,,2015,0,,
108255,,Luxembourg,Angola,,G / FI,,7,1,6,2015,0,,1
108256,,Luxembourg,Angola,,G / AR,,,,,2015,0,,
108257,0,Latvia,Angola,0,G / FI,0,0,,0,2015,0,0,0
108258,1,Morocco,Angola,3,U / FI,0,6,5,2,2015,2,0,2
108259,1,Mexico,Angola,1,G / FI,,0,1,0,2015,,,
108260,1,Mali,Angola,,G / FI,,0,,1,2015,1,,
108261,,Mozambique,Angola,,G / FI,,5,,5,2015,0,,
108262,0,Malawi,Angola,0,G / FI,0,2,1,1,2015,1,0,1
108263,,Malaysia,Angola,,U / FI,,1,,1,2015,1,,
108264,14,Netherlands,Angola,,G / FI,3,4,3,13,2015,,,
108265,3,Netherlands,Angola,,G / RA,,,2,1,2015,,,2
108266,4,Norway,Angola,3,G / FI,4,0,7,0,2015,0,0,0
108267,0,Norway,Angola,0,G / RA,0,0,,0,2015,0,0,0
108268,16,Norway,Angola,3,G / AR,8,8,11,1,2015,0,0,0
108269,1,Argentina,Angola,,G / FI,,2,3,0,2015,0,,3
108270,119,United States of America,Albania,59,G / EO,26,822,169,916,2015,,,84
108271,220,United States of America,Albania,55,G / IN,1,168,84,313,2015,,,28
108272,0,Venezuela (Bolivarian Republic of),Albania,,G / FI,,1,,1,2015,1,,
108273,1,South Africa,Albania,,G / AR,,0,,1,2015,0,,
108274,1,South Africa,Albania,,G / FI,1,0,1,0,2015,0,,
108275,0,Papua New Guinea,Albania,,G / FI,0,1,,1,2015,,,0
108276,3,Portugal,Albania,2,G / FI,0,1,2,2,2015,0,0,0
108277,3,Romania,Albania,,G / FI,2,1,2,2,2015,1,,
108278,1,Russian Federation,Albania,0,G / TA,1,0,1,0,2015,0,0,0
108279,2,Russian Federation,Albania,0,G / FI,1,0,1,1,2015,1,0,0
108280,1,Serbia and Kosovo (S/RES/1244 (1999)),Albania,1,G / FI,,,1,0,2015,,,
108281,8,Slovenia,Albania,5,G / FI,4,1,9,1,2015,0,,
108282,2561,Sweden,Albania,901,G / FI,1651,746,2579,702,2015,0,19,8
108283,56,Sweden,Albania,21,G / RA,28,8,49,25,2015,0,0,0
108284,1146,Sweden,Albania,83,G / AR,1232,502,1324,309,2015,0,6,3
108285,134,Austria,Albania,20,G / FA,88,111,115,134,2015,0,6,1
108286,6,Austria,Albania,,G / RA,,,,,2015,,,
108287,206,Belgium,Albania,76,G / JR,174,,261,75,2015,0,1,10
108288,611,Belgium,Albania,56,G / FI,454,206,564,307,2015,0,4,50
108289,216,Belgium,Albania,68,G / RA,,,68,,2015,,,
108290,,Bulgaria,Albania,0,G / FI,,,,,2015,,,
108291,136,Canada,Albania,7,G / FI,41,64,79,127,2015,,,31
108292,47,Canada,Albania,,G / AR,38,16,54,8,2015,,,16
108293,416,Switzerland,Albania,79,G / FI,321,59,412,109,2015,0,12,0
108294,,Chile,Albania,,G / FI,,1,,1,2015,0,,
108295,,Cyprus,Albania,,G / AR,,3,,3,2015,,,
108296,957,Germany,Albania,421,G / RA,64,138,486,624,2015,,1,0
108297,53805,Germany,Albania,4074,G / NA,31086,5472,35235,23929,2015,0,68,7
108298,,Germany,Albania,4079,G / JR,2383,1375,6500,7742,2015,0,38,
108299,4,Denmark,Albania,,G / AR,3,0,3,1,2015,0,0,0
108300,84,Denmark,Albania,,G / FI,69,7,69,1,2015,0,0,0
108301,15,Spain,Albania,,G / FI,8,5,8,10,2015,,,
108302,0,Estonia,Albania,0,G / FI,0,1,,0,2015,0,0,0
108303,5,Finland,Albania,1,G / RA,5,,6,0,2015,0,0,0
108304,748,Finland,Albania,287,G / FI,372,23,659,98,2015,0,0,0
108305,3230,France,Albania,,G / FI,2057,1124,2309,1613,2015,,207,45
108306,469,France,Albania,,G / RA,,,,,2015,,,
108307,1394,France,Albania,757,G / AR,2030,1599,3144,899,2015,,295,62
108308,21,United Kingdom,Albania,4,G / RA,1,,5,,2015,,0,0
108309,800,United Kingdom,Albania,20,G / AR,286,,444,,2015,,,138
108310,1809,United Kingdom,Albania,418,G / FI,1539,1968,2323,2211,2015,,356,10
108311,382,Greece,Albania,8,G / AR,261,166,274,259,2015,,1,4
108312,91,Greece,Albania,,G / RA,,,,,2015,,,
108313,912,Greece,Albania,80,G / FI,638,43,719,349,2015,,1,
108314,2,Croatia,Albania,2,G / FI,,,2,0,2015,,,
108315,,Croatia,Albania,,G / JR,1,1,1,0,2015,,,
108316,256,Hungary,Albania,214,G / FI,29,23,243,31,2015,0,,
108317,253,Hungary,Albania,,G / RA,,,,,2015,,,
108318,33,Ireland,Albania,6,G / SP,2,0,8,25,2015,0,,0
108319,63,Ireland,Albania,10,G / AR,19,52,33,82,2015,0,,4
108320,5,Ireland,Albania,,G / RA,,,,,2015,0,,
108321,214,Ireland,Albania,51,G / FI,78,66,131,153,2015,0,,2
108322,,Iraq,Albania,,U / FI,,1,,1,2015,1,,
108323,108,Iceland,Albania,24,G / FI,54,7,78,37,2015,0,0,0
108324,420,Italy,Albania,0,G / FI,128,71,237,267,2015,,78,31
108325,,Rep. of Korea,Albania,,G / FA,,,,0,2015,0,,
108326,9,Liechtenstein,Albania,6,G / FI,4,4,10,3,2015,0,,
108327,64,Luxembourg,Albania,6,G / AR,52,25,58,20,2015,0,,
108328,127,Luxembourg,Albania,23,G / FI,57,27,94,82,2015,0,13,1
108329,18,Luxembourg,Albania,1,G / JR,15,15,25,8,2015,0,9,
108330,26,Luxembourg,Albania,19,G / RA,,,19,,2015,0,,
108331,0,Latvia,Albania,0,G / FI,0,0,,0,2015,0,0,0
108332,0,Mexico,Albania,0,G / FI,,3,,3,2015,,,
108333,1005,Netherlands,Albania,102,G / FI,300,21,402,592,2015,,,
108334,9,Netherlands,Albania,,G / RA,6,,6,,2015,,,
108335,229,Norway,Albania,10,G / AR,213,16,223,15,2015,0,0,0
108336,431,Norway,Albania,111,G / FI,307,0,418,13,2015,0,0,0
108337,0,Norway,Albania,0,G / RA,0,0,,0,2015,0,0,0
108338,,Argentina,Albania,,G / FI,,0,,0,2015,0,,
108339,19,Australia,Albania,3,G / FI,0,42,6,34,2015,0,,3
108340,7,Australia,Albania,0,G / AR,4,6,6,7,2015,0,,2
108341,1,Austria,Andorra,,G / FA,,,,1,2015,0,,
108342,0,Belgium,Andorra,0,G / FI,0,0,,0,2015,0,0,0
108343,0,United Kingdom,Andorra,0,G / AR,0,,,,2015,,,0
108344,0,United Kingdom,Andorra,0,G / RA,0,,,,2015,,0,0
108345,0,United Kingdom,Andorra,0,G / FI,0,0,,0,2015,,0,0
108346,0,Hungary,Andorra,,G / RA,,,,,2015,,,
108347,,Italy,Andorra,,G / FI,,,,,2015,,,
108348,,Luxembourg,Andorra,,G / AR,,,,,2015,0,,
108349,0,Latvia,Andorra,0,G / FI,0,0,,0,2015,0,0,0
108350,3,Australia,Andorra,0,G / FI,0,0,,3,2015,0,,0
108351,4,United States of America,United Arab Emirates,,G / EO,,12,,17,2015,,,
108352,18,United States of America,United Arab Emirates,1,G / IN,1,25,6,34,2015,,,4
108353,1,Pakistan,United Arab Emirates,,U / FI,0,0,,1,2015,1,,0
108354,6,Serbia and Kosovo (S/RES/1244 (1999)),United Arab Emirates,6,G / FI,,,6,0,2015,,,
108355,0,Sweden,United Arab Emirates,0,G / AR,4,5,4,0,2015,0,0,0
108356,2,Sweden,United Arab Emirates,0,G / FI,0,0,,2,2015,0,0,0
108357,,Thailand,United Arab Emirates,,U / AR,,1,1,0,2015,0,,1
108358,1,Turkey,United Arab Emirates,1,U / FI,,10,2,9,2015,9,,1
108359,3,Australia,United Arab Emirates,0,G / FI,0,1,,3,2015,0,,0
108360,1,Belgium,United Arab Emirates,,G / RA,,,,,2015,,,
108361,1,Belgium,United Arab Emirates,1,G / JR,2,,3,,2015,0,,
108362,0,Belgium,United Arab Emirates,0,G / FI,0,0,,3,2015,0,0,0
108363,0,Canada,United Arab Emirates,,G / AR,1,2,1,0,2015,,,
108364,,Canada,United Arab Emirates,,G / FI,,1,1,3,2015,,,1
108365,,Germany,United Arab Emirates,,G / JR,,1,,0,2015,0,,
108366,6,Germany,United Arab Emirates,0,G / NA,0,0,,6,2015,0,0,0
108367,,Egypt,United Arab Emirates,,U / FI,,1,,1,2015,1,,
108368,3,Finland,United Arab Emirates,3,G / FI,0,0,3,0,2015,0,0,0
108369,0,France,United Arab Emirates,,G / RA,,,,,2015,,,
108370,1,France,United Arab Emirates,,G / FI,0,0,,1,2015,,0,0
108371,0,France,United Arab Emirates,0,G / AR,1,1,1,0,2015,,0,0
108372,3,United Kingdom,United Arab Emirates,2,G / FI,18,17,20,17,2015,,0,0
108373,11,United Kingdom,United Arab Emirates,0,G / AR,0,,5,,2015,,,5
108374,,Georgia,United Arab Emirates,,G / FI,1,1,1,0,2015,0,,
108375,8,Hungary,United Arab Emirates,,G / RA,,,,,2015,,,
108376,8,Hungary,United Arab Emirates,3,G / FI,,0,3,4,2015,0,,
108377,2,Jordan,United Arab Emirates,0,U / FI,0,0,,2,2015,2,0,0
108378,,Luxembourg,United Arab Emirates,,G / AR,,,,,2015,0,,
108379,0,Latvia,United Arab Emirates,0,G / FI,0,0,,0,2015,0,0,0
108380,,Malaysia,United Arab Emirates,1,U / FI,,1,1,0,2015,0,,
108381,2,Netherlands,United Arab Emirates,,G / RA,,,,,2015,,,
108382,1,Netherlands,United Arab Emirates,1,G / FI,,,1,1,2015,,,
108383,0,Norway,United Arab Emirates,0,G / RA,0,0,,0,2015,0,0,0
108384,1,Norway,United Arab Emirates,0,G / AR,2,0,2,0,2015,0,0,0
108385,14,United States of America,Argentina,22,G / EO,,63,22,69,2015,,,
108386,37,United States of America,Argentina,4,G / IN,0,24,4,57,2015,,,
108387,0,Venezuela (Bolivarian Republic of),Argentina,,G / FI,,2,,2,2015,2,,
108388,1,Peru,Argentina,,G / FI,1,1,1,1,2015,0,,
108389,2,Serbia and Kosovo (S/RES/1244 (1999)),Argentina,2,G / FI,,,2,0,2015,,,
108390,7,Sweden,Argentina,3,G / FI,2,2,5,4,2015,0,0,0
108391,1,Sweden,Argentina,0,G / RA,1,0,1,0,2015,0,0,0
108392,1,Sweden,Argentina,0,G / AR,1,0,1,0,2015,0,0,0
108393,,Syrian Arab Rep.,Argentina,,U / FI,5,5,5,0,2015,,,
108394,5,Syrian Arab Rep.,Argentina,,U / AR,,,,5,2015,5,,
108395,0,Uruguay,Argentina,1,G / FI,0,2,1,1,2015,1,0,0
