country,country_code,access_to_electricity_pct_of_population
Turks and Caicos Islands,TCA,95.4321975708008
Chad,TCD,7.7
Togo,TGO,45.0285453796387
Thailand,THA,99.6
Tajikistan,TJK,99.9973526000976
Turkmenistan,TKM,100.0
Timor-Leste,TLS,67.2815339423354
Tonga,TON,96.1754531860352
Trinidad and Tobago,TTO,100.0
Tunisia,TUN,100.0
Turkey,TUR,100.0
Tuvalu,TUV,99.0326766967773
Tanzania,TZA,18.5
Uganda,UGA,18.5
Ukraine,UKR,100.0
Uruguay,URY,99.70948
United States,USA,100.0
Uzbekistan,UZB,100.0
St. Vincent and the Grenadines,VCT,99.4550628662109
"Venezuela, RB",VEN,99.4607391357422
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,100.0
Vietnam,VNM,100.0
Vanuatu,VUT,44.669612884521506
Samoa,WSM,99.9382781982422
Kosovo,XKX,100.0
"Yemen, Rep.",YEM,70.2139053344727
South Africa,ZAF,85.5
Zambia,ZMB,31.1
Zimbabwe,ZWE,33.7
