,country,country_code,adolescent_fertility_rate
180,Oman,OMN,8.573
181,Other small states,OSS,62.752227157247496
182,Pakistan,PAK,38.4744
183,Panama,PAN,83.8412
184,Peru,PER,49.3358
185,Philippines,PHL,59.211000000000006
186,Palau,PLW,
187,Papua New Guinea,PNG,54.2226
188,Poland,POL,13.3568
189,Pre-demographic dividend,PRE,111.552738777737
190,Puerto Rico,PRI,39.543
191,"Korea, Dem. People’s Rep.",PRK,0.2928
192,Portugal,PRT,10.4192
193,Paraguay,PRY,57.5128
194,West Bank and Gaza,PSE,58.065
195,Pacific island small states,PSS,39.0181428937341
196,Post-demographic dividend,PST,14.1198572165525
197,French Polynesia,PYF,36.269
198,Qatar,QAT,10.4604
199,Romania,ROU,34.3786
200,Russian Federation,RUS,23.4998
201,Rwanda,RWA,27.8358
202,South Asia,SAS,35.0669315273037
203,Saudi Arabia,SAU,8.823
204,Sudan,SDN,70.399
205,Senegal,SEN,77.0508
206,Singapore,SGP,3.7704
207,Solomon Islands,SLB,49.2814
208,Sierra Leone,SLE,118.3336
209,El Salvador,SLV,71.0814
210,San Marino,SMR,
211,Somalia,SOM,104.235
212,Serbia,SRB,19.7254
213,Sub-Saharan Africa (excluding high income),SSA,103.541382087985
214,South Sudan,SSD,68.4536
215,Sub-Saharan Africa,SSF,103.538992488647
216,Small states,SST,59.673692044774796
217,Sao Tome and Principe,STP,97.6724
218,Suriname,SUR,47.3324
219,Slovak Republic,SVK,22.2734
220,Slovenia,SVN,4.4396
221,Sweden,SWE,5.3086
222,Eswatini,SWZ,80.0864
223,Sint Maarten (Dutch part),SXM,
224,Seychelles,SYC,58.6768
225,Syrian Arab Republic,SYR,40.4704
226,Turks and Caicos Islands,TCA,
227,Chad,TCD,167.942
228,East Asia & Pacific (IDA & IBRD countries),TEA,22.9552407164892
229,Europe & Central Asia (IDA & IBRD countries),TEC,25.451049952569605
230,Togo,TGO,90.1494
231,Thailand,THA,51.7358
232,Tajikistan,TJK,37.4176
233,Turkmenistan,TKM,25.2328
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,63.8594767961644
235,Timor-Leste,TLS,47.2688
236,Middle East & North Africa (IDA & IBRD countries),TMN,41.7938375985608
237,Tonga,TON,15.437999999999999
238,South Asia (IDA & IBRD),TSA,35.0669315273037
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,103.538992488647
240,Trinidad and Tobago,TTO,31.976
241,Tunisia,TUN,7.6278
242,Turkey,TUR,28.006
243,Tuvalu,TUV,
244,Tanzania,TZA,118.1232
245,Uganda,UGA,114.5604
246,Ukraine,UKR,25.4852
247,Upper middle income,UMC,29.852109657360703
248,Uruguay,URY,56.0292
249,United States,USA,22.441
250,Uzbekistan,UZB,16.9212
251,St. Vincent and the Grenadines,VCT,51.2152
252,"Venezuela, RB",VEN,86.3302
253,British Virgin Islands,VGB,
254,Virgin Islands (U.S.),VIR,44.121
255,Vietnam,VNM,30.7942
256,Vanuatu,VUT,43.0728
257,World,WLD,45.146149702048994
258,Samoa,WSM,25.631999999999998
259,Kosovo,XKX,
260,"Yemen, Rep.",YEM,63.28
261,South Africa,ZAF,46.068000000000005
262,Zambia,ZMB,89.1276
263,Zimbabwe,ZWE,107.5554
